student,slot 1,slot 2,slot 3
1,Slot 15,Slot 27,
2,Slot 41,Slot 43,Slot 59
3,Slot 7,Slot 18,Slot 45
4,Slot 14,Slot 23,
5,Slot 3,Slot 15,Slot 58
6,Slot 21,Slot 36,Slot 40
7,Slot 26,Slot 27,Slot 50
8,Slot 25,Slot 28,Slot 54
9,Slot 32,Slot 45,Slot 64
10,Slot 2,Slot 31,Slot 58
11,Slot 6,Slot 62,
12,Slot 33,Slot 62,Slot 64
13,Slot 51,Slot 53,Slot 55
14,Slot 28,Slot 47,Slot 54
15,Slot 34,Slot 37,
16,Slot 5,Slot 31,Slot 46
17,Slot 2,Slot 37,Slot 56
18,Slot 4,Slot 34,Slot 41
19,Slot 38,Slot 40,Slot 67
20,Slot 17,Slot 24,Slot 43
21,Slot 8,Slot 11,
22,Slot 36,Slot 48,Slot 63
23,Slot 1,Slot 52,
24,Slot 10,Slot 29,
25,Slot 10,Slot 12,Slot 61
26,Slot 29,Slot 42,Slot 55
27,Slot 16,Slot 17,
28,Slot 9,Slot 20,Slot 30
29,Slot 8,Slot 20,
30,Slot 19,Slot 35,Slot 53
31,Slot 4,Slot 30,
32,Slot 42,Slot 49,Slot 66
33,Slot 18,Slot 50,
34,Slot 9,Slot 35,
35,Slot 7,Slot 23,Slot 39
36,Slot 44,Slot 61,Slot 63
37,Slot 14,Slot 16,
38,Slot 13,Slot 49,
39,Slot 19,Slot 51,
40,Slot 11,Slot 47,Slot 56
41,Slot 13,Slot 48,Slot 57
42,Slot 22,Slot 65,Slot 66
43,Slot 6,Slot 21,Slot 26
44,Slot 24,Slot 39,Slot 57
45,Slot 5,Slot 22,Slot 59
46,Slot 12,Slot 25,Slot 65
47,Slot 3,Slot 60,Slot 67
48,Slot 44,Slot 52,
49,Slot 1,Slot 33,Slot 60
50,Slot 32,Slot 38,Slot 46
