student,slot 1,slot 2,slot 3
1,Slot 1,Slot 18,
2,Slot 35,Slot 36,Slot 43
3,Slot 8,Slot 33,
4,Slot 2,Slot 24,Slot 67
5,Slot 10,Slot 23,Slot 55
6,Slot 25,Slot 31,Slot 40
7,Slot 3,Slot 25,Slot 39
8,Slot 26,Slot 30,Slot 52
9,Slot 26,Slot 30,
10,Slot 32,Slot 51,
11,Slot 27,Slot 58,Slot 59
12,Slot 3,Slot 54,Slot 66
13,Slot 7,Slot 56,Slot 61
14,Slot 4,Slot 20,Slot 53
15,Slot 31,Slot 34,
16,Slot 6,Slot 49,Slot 51
17,Slot 11,Slot 27,Slot 46
18,Slot 35,Slot 37,Slot 45
19,Slot 37,Slot 39,
20,Slot 9,Slot 13,Slot 40
21,Slot 8,Slot 61,
22,Slot 9,Slot 12,Slot 53
23,Slot 4,Slot 41,Slot 46
24,Slot 17,Slot 28,Slot 62
25,Slot 19,Slot 38,Slot 44
26,Slot 2,Slot 15,Slot 50
27,Slot 19,Slot 33,
28,Slot 7,Slot 17,Slot 60
29,Slot 63,Slot 66,
30,Slot 11,Slot 22,
31,Slot 6,Slot 29,Slot 67
32,Slot 28,Slot 32,Slot 58
33,Slot 1,Slot 43,
34,Slot 42,Slot 63,
35,Slot 18,Slot 29,
36,Slot 34,Slot 55,Slot 56
37,Slot 13,Slot 14,
38,Slot 21,Slot 44,
39,Slot 22,Slot 47,
40,Slot 15,Slot 49,Slot 57
41,Slot 41,Slot 42,Slot 45
42,Slot 59,Slot 60,Slot 64
43,Slot 5,Slot 16,Slot 21
44,Slot 23,Slot 54,Slot 65
45,Slot 24,Slot 38,Slot 64
46,Slot 12,Slot 16,Slot 62
47,Slot 20,Slot 57,Slot 65
48,Slot 47,Slot 48,Slot 52
49,Slot 10,Slot 14,Slot 48
50,Slot 5,Slot 36,Slot 50
