student,slot 1,slot 2,slot 3
1,Slot 1,Slot 10,
2,Slot 4,Slot 33,Slot 44
3,Slot 7,Slot 63,
4,Slot 16,Slot 19,
5,Slot 6,Slot 12,Slot 48
6,Slot 6,Slot 32,Slot 47
7,Slot 28,Slot 29,Slot 41
8,Slot 27,Slot 29,Slot 55
9,Slot 3,Slot 35,Slot 64
10,Slot 9,Slot 28,Slot 54
11,Slot 58,Slot 60,
12,Slot 39,Slot 60,Slot 61
13,Slot 56,Slot 59,Slot 65
14,Slot 33,Slot 38,Slot 53
15,Slot 30,Slot 34,Slot 36
16,Slot 41,Slot 51,Slot 52
17,Slot 3,Slot 13,Slot 56
18,Slot 11,Slot 34,Slot 46
19,Slot 35,Slot 38,Slot 66
20,Slot 5,Slot 17,Slot 30
21,Slot 8,Slot 15,
22,Slot 16,Slot 50,Slot 58
23,Slot 42,Slot 45,Slot 49
24,Slot 14,Slot 31,
25,Slot 14,Slot 18,Slot 43
26,Slot 9,Slot 21,Slot 57
27,Slot 22,Slot 40,
28,Slot 18,Slot 19,
29,Slot 7,Slot 45,
30,Slot 13,Slot 23,Slot 51
31,Slot 22,Slot 32,
32,Slot 24,Slot 39,Slot 42
33,Slot 26,Slot 47,
34,Slot 8,Slot 31,
35,Slot 20,Slot 25,
36,Slot 48,Slot 61,Slot 62
37,Slot 11,Slot 12,Slot 64
38,Slot 2,Slot 46,
39,Slot 23,Slot 54,
40,Slot 40,Slot 50,Slot 55
41,Slot 4,Slot 21,Slot 43
42,Slot 26,Slot 63,Slot 67
43,Slot 25,Slot 27,Slot 52
44,Slot 24,Slot 37,Slot 57
45,Slot 10,Slot 20,Slot 37
46,Slot 15,Slot 17,Slot 66
47,Slot 2,Slot 62,Slot 67
48,Slot 44,Slot 53,
49,Slot 1,Slot 59,Slot 65
50,Slot 5,Slot 36,Slot 49
