student,slot 1,slot 2,slot 3
1,Slot 1,Slot 28,
2,Slot 4,Slot 36,Slot 43
3,Slot 7,Slot 10,Slot 58
4,Slot 19,Slot 22,
5,Slot 1,Slot 25,Slot 55
6,Slot 3,Slot 6,Slot 37
7,Slot 25,Slot 28,Slot 47
8,Slot 26,Slot 29,Slot 52
9,Slot 29,Slot 35,Slot 67
10,Slot 3,Slot 26,Slot 56
11,Slot 13,Slot 57,Slot 60
12,Slot 30,Slot 64,Slot 66
13,Slot 59,Slot 62,Slot 63
14,Slot 31,Slot 48,Slot 55
15,Slot 33,Slot 36,
16,Slot 41,Slot 48,Slot 53
17,Slot 12,Slot 23,Slot 50
18,Slot 31,Slot 37,Slot 39
19,Slot 4,Slot 38,Slot 66
20,Slot 17,Slot 38,Slot 43
21,Slot 8,Slot 15,
22,Slot 12,Slot 47,Slot 59
23,Slot 46,Slot 49,
24,Slot 14,Slot 32,
25,Slot 14,Slot 19,Slot 58
26,Slot 9,Slot 21,Slot 51
27,Slot 13,Slot 40,
28,Slot 16,Slot 18,
29,Slot 7,Slot 45,
30,Slot 2,Slot 11,Slot 51
31,Slot 2,Slot 32,
32,Slot 5,Slot 42,Slot 54
33,Slot 20,Slot 46,
34,Slot 8,Slot 30,
35,Slot 9,Slot 21,Slot 34
36,Slot 40,Slot 61,Slot 62
37,Slot 10,Slot 11,Slot 67
38,Slot 5,Slot 16,
39,Slot 20,Slot 53,
40,Slot 39,Slot 44,Slot 52
41,Slot 6,Slot 22,Slot 35
42,Slot 24,Slot 61,Slot 63
43,Slot 23,Slot 27,Slot 56
44,Slot 24,Slot 33,Slot 50
45,Slot 17,Slot 42,Slot 57
46,Slot 15,Slot 27,Slot 65
47,Slot 18,Slot 60,Slot 64
48,Slot 41,Slot 49,
49,Slot 54,Slot 65,
50,Slot 34,Slot 44,Slot 45
