student,slot 1,slot 2,slot 3
1,Slot 1,Slot 31,
2,Slot 4,Slot 6,Slot 54
3,Slot 15,Slot 47,Slot 67
4,Slot 17,Slot 23,
5,Slot 4,Slot 12,Slot 41
6,Slot 19,Slot 33,Slot 34
7,Slot 20,Slot 30,Slot 61
8,Slot 20,Slot 21,Slot 49
9,Slot 24,Slot 38,
10,Slot 26,Slot 32,Slot 50
11,Slot 12,Slot 58,Slot 60
12,Slot 2,Slot 8,Slot 50
13,Slot 54,Slot 55,Slot 59
14,Slot 7,Slot 27,Slot 57
15,Slot 24,Slot 42,Slot 63
16,Slot 25,Slot 33,Slot 51
17,Slot 6,Slot 22,Slot 42
18,Slot 28,Slot 35,Slot 56
19,Slot 27,Slot 29,
20,Slot 22,Slot 26,Slot 36
21,Slot 19,Slot 62,
22,Slot 7,Slot 16,Slot 40
23,Slot 39,Slot 45,Slot 53
24,Slot 11,Slot 38,
25,Slot 53,Slot 57,Slot 59
26,Slot 3,Slot 43,Slot 49
27,Slot 15,Slot 16,
28,Slot 28,Slot 60,
29,Slot 3,Slot 17,
30,Slot 18,Slot 40,Slot 65
31,Slot 34,Slot 64,
32,Slot 29,Slot 41,Slot 66
33,Slot 11,Slot 52,
34,Slot 9,Slot 39,
35,Slot 14,Slot 25,
36,Slot 44,Slot 62,Slot 63
37,Slot 9,Slot 10,
38,Slot 1,Slot 51,
39,Slot 13,Slot 55,
40,Slot 32,Slot 45,Slot 58
41,Slot 18,Slot 31,Slot 44
42,Slot 65,Slot 66,Slot 67
43,Slot 2,Slot 21,Slot 52
44,Slot 14,Slot 35,Slot 43
45,Slot 23,Slot 30,Slot 46
46,Slot 13,Slot 61,Slot 64
47,Slot 8,Slot 47,Slot 48
48,Slot 5,Slot 46,Slot 56
49,Slot 5,Slot 10,Slot 37
50,Slot 36,Slot 37,Slot 48
