student,slot 1,slot 2,slot 3
1,Slot 1,Slot 63,
2,Slot 27,Slot 43,Slot 44
3,Slot 10,Slot 50,Slot 62
4,Slot 19,Slot 24,
5,Slot 11,Slot 29,Slot 55
6,Slot 26,Slot 38,Slot 41
7,Slot 30,Slot 32,Slot 47
8,Slot 27,Slot 30,Slot 51
9,Slot 7,Slot 32,Slot 35
10,Slot 34,Slot 56,
11,Slot 6,Slot 21,
12,Slot 6,Slot 34,Slot 65
13,Slot 53,Slot 56,Slot 59
14,Slot 31,Slot 49,Slot 50
15,Slot 37,Slot 38,
16,Slot 44,Slot 46,Slot 47
17,Slot 13,Slot 25,Slot 54
18,Slot 4,Slot 40,Slot 41
19,Slot 4,Slot 7,Slot 39
20,Slot 19,Slot 29,Slot 43
21,Slot 12,Slot 33,Slot 48
22,Slot 13,Slot 45,Slot 63
23,Slot 17,Slot 28,Slot 55
24,Slot 12,Slot 35,
25,Slot 15,Slot 16,Slot 60
26,Slot 28,Slot 39,Slot 52
27,Slot 17,Slot 18,
28,Slot 18,Slot 22,
29,Slot 3,Slot 21,
30,Slot 2,Slot 22,Slot 54
31,Slot 20,Slot 36,
32,Slot 42,Slot 51,Slot 60
33,Slot 5,Slot 25,
34,Slot 8,Slot 33,
35,Slot 8,Slot 23,Slot 36
36,Slot 57,Slot 58,Slot 64
37,Slot 10,Slot 66,
38,Slot 49,Slot 59,
39,Slot 5,Slot 14,
40,Slot 14,Slot 45,Slot 61
41,Slot 9,Slot 42,Slot 58
42,Slot 9,Slot 64,Slot 66
43,Slot 16,Slot 20,Slot 65
44,Slot 26,Slot 37,Slot 52
45,Slot 23,Slot 53,Slot 57
46,Slot 15,Slot 31,Slot 67
47,Slot 2,Slot 61,Slot 67
48,Slot 24,Slot 48,
49,Slot 1,Slot 11,Slot 62
50,Slot 3,Slot 40,Slot 46
