student,slot 1,slot 2,slot 3
1,Slot 8,Slot 60,
2,Slot 5,Slot 52,Slot 55
3,Slot 10,Slot 34,Slot 57
4,Slot 6,Slot 16,Slot 61
5,Slot 12,Slot 24,Slot 54
6,Slot 18,Slot 22,Slot 41
7,Slot 4,Slot 21,Slot 50
8,Slot 28,Slot 29,Slot 34
9,Slot 2,Slot 30,
10,Slot 26,Slot 32,Slot 33
11,Slot 7,Slot 62,Slot 63
12,Slot 22,Slot 65,
13,Slot 48,Slot 56,
14,Slot 20,Slot 39,Slot 49
15,Slot 3,Slot 31,Slot 53
16,Slot 48,Slot 57,Slot 66
17,Slot 15,Slot 42,Slot 47
18,Slot 3,Slot 29,Slot 40
19,Slot 30,Slot 32,
20,Slot 24,Slot 33,Slot 42
21,Slot 18,Slot 59,Slot 67
22,Slot 46,Slot 53,Slot 65
23,Slot 49,Slot 51,Slot 58
24,Slot 36,Slot 41,
25,Slot 13,Slot 16,Slot 39
26,Slot 4,Slot 5,Slot 31
27,Slot 21,Slot 23,
28,Slot 20,Slot 35,Slot 64
29,Slot 25,Slot 66,
30,Slot 1,Slot 25,Slot 47
31,Slot 38,Slot 45,
32,Slot 43,Slot 44,Slot 55
33,Slot 9,Slot 54,
34,Slot 9,Slot 35,
35,Slot 13,Slot 27,
36,Slot 8,Slot 19,Slot 67
37,Slot 1,Slot 45,
38,Slot 7,Slot 58,
39,Slot 11,Slot 56,
40,Slot 17,Slot 46,Slot 64
41,Slot 14,Slot 40,Slot 44
42,Slot 6,Slot 19,Slot 63
43,Slot 15,Slot 60,Slot 61
44,Slot 23,Slot 26,Slot 62
45,Slot 27,Slot 37,Slot 51
46,Slot 2,Slot 14,
47,Slot 17,Slot 28,Slot 37
48,Slot 12,Slot 50,Slot 52
49,Slot 10,Slot 11,Slot 59
50,Slot 36,Slot 38,Slot 43
