student,slot 1,slot 2,slot 3
1,Slot 49,Slot 61,
2,Slot 42,Slot 53,Slot 56
3,Slot 9,Slot 14,Slot 53
4,Slot 13,Slot 25,
5,Slot 10,Slot 41,Slot 48
6,Slot 4,Slot 15,Slot 60
7,Slot 2,Slot 21,Slot 33
8,Slot 24,Slot 51,Slot 65
9,Slot 25,Slot 30,
10,Slot 26,Slot 57,Slot 66
11,Slot 28,Slot 59,
12,Slot 15,Slot 54,
13,Slot 59,Slot 64,Slot 67
14,Slot 9,Slot 35,Slot 55
15,Slot 29,Slot 31,Slot 40
16,Slot 39,Slot 45,Slot 58
17,Slot 26,Slot 32,Slot 49
18,Slot 4,Slot 33,Slot 37
19,Slot 7,Slot 34,
20,Slot 27,Slot 43,Slot 66
21,Slot 28,Slot 64,
22,Slot 14,Slot 19,Slot 40
23,Slot 1,Slot 52,Slot 63
24,Slot 6,Slot 36,Slot 61
25,Slot 12,Slot 16,Slot 57
26,Slot 3,Slot 5,Slot 46
27,Slot 17,Slot 31,
28,Slot 23,Slot 32,
29,Slot 3,Slot 18,
30,Slot 12,Slot 22,Slot 46
31,Slot 22,Slot 39,
32,Slot 36,Slot 38,Slot 47
33,Slot 6,Slot 24,Slot 50
34,Slot 8,Slot 29,
35,Slot 27,Slot 34,
36,Slot 41,Slot 62,Slot 67
37,Slot 10,Slot 30,
38,Slot 50,Slot 63,Slot 65
39,Slot 11,Slot 54,
40,Slot 43,Slot 44,Slot 56
41,Slot 8,Slot 37,Slot 42
42,Slot 19,Slot 58,Slot 60
43,Slot 17,Slot 18,Slot 55
44,Slot 2,Slot 20,Slot 48
45,Slot 5,Slot 20,Slot 35
46,Slot 7,Slot 16,Slot 21
47,Slot 23,Slot 62,
48,Slot 45,Slot 47,Slot 51
49,Slot 1,Slot 11,Slot 52
50,Slot 13,Slot 38,Slot 44
