student,slot 1,slot 2,slot 3
1,Slot 12,Slot 17,
2,Slot 41,Slot 48,Slot 49
3,Slot 9,Slot 23,Slot 42
4,Slot 20,Slot 21,
5,Slot 31,Slot 51,
6,Slot 17,Slot 35,Slot 49
7,Slot 5,Slot 24,Slot 31
8,Slot 27,Slot 29,Slot 55
9,Slot 29,Slot 33,Slot 61
10,Slot 30,Slot 58,
11,Slot 26,Slot 61,Slot 65
12,Slot 7,Slot 30,Slot 56
13,Slot 60,Slot 62,Slot 63
14,Slot 34,Slot 50,Slot 57
15,Slot 37,Slot 39,
16,Slot 33,Slot 46,Slot 54
17,Slot 4,Slot 25,Slot 52
18,Slot 12,Slot 40,Slot 45
19,Slot 4,Slot 43,Slot 67
20,Slot 22,Slot 40,Slot 48
21,Slot 14,Slot 65,
22,Slot 5,Slot 10,Slot 63
23,Slot 42,Slot 50,
24,Slot 14,Slot 32,Slot 66
25,Slot 16,Slot 18,Slot 60
26,Slot 24,Slot 36,Slot 52
27,Slot 18,Slot 19,
28,Slot 20,Slot 39,
29,Slot 7,Slot 21,
30,Slot 27,Slot 28,
31,Slot 25,Slot 35,
32,Slot 37,Slot 45,Slot 56
33,Slot 1,Slot 47,
34,Slot 26,Slot 66,Slot 67
35,Slot 23,Slot 38,Slot 64
36,Slot 41,Slot 58,Slot 59
37,Slot 11,Slot 13,
38,Slot 11,Slot 36,Slot 44
39,Slot 9,Slot 55,
40,Slot 47,Slot 54,Slot 59
41,Slot 16,Slot 43,Slot 53
42,Slot 15,Slot 62,Slot 64
43,Slot 6,Slot 19,Slot 22
44,Slot 28,Slot 34,Slot 51
45,Slot 2,Slot 3,Slot 53
46,Slot 8,Slot 13,Slot 15
47,Slot 2,Slot 6,Slot 8
48,Slot 38,Slot 44,
49,Slot 1,Slot 10,Slot 57
50,Slot 3,Slot 32,Slot 46
