student,slot 1,slot 2,slot 3
1,Slot 10,Slot 59,
2,Slot 40,Slot 43,Slot 49
3,Slot 16,Slot 35,Slot 63
4,Slot 13,Slot 18,
5,Slot 3,Slot 54,Slot 65
6,Slot 32,Slot 41,Slot 61
7,Slot 20,Slot 27,Slot 53
8,Slot 26,Slot 29,Slot 50
9,Slot 30,Slot 39,Slot 66
10,Slot 28,Slot 30,Slot 53
11,Slot 15,Slot 37,Slot 60
12,Slot 8,Slot 55,Slot 57
13,Slot 6,Slot 58,Slot 59
14,Slot 49,Slot 55,
15,Slot 28,Slot 31,
16,Slot 36,Slot 44,Slot 50
17,Slot 19,Slot 38,Slot 47
18,Slot 31,Slot 33,Slot 41
19,Slot 2,Slot 38,
20,Slot 21,Slot 23,Slot 42
21,Slot 9,Slot 21,
22,Slot 7,Slot 14,Slot 44
23,Slot 5,Slot 56,
24,Slot 7,Slot 12,Slot 32
25,Slot 13,Slot 17,Slot 61
26,Slot 4,Slot 26,Slot 52
27,Slot 16,Slot 20,
28,Slot 4,Slot 19,
29,Slot 2,Slot 8,
30,Slot 18,Slot 22,Slot 47
31,Slot 22,Slot 34,
32,Slot 35,Slot 45,Slot 62
33,Slot 24,Slot 45,
34,Slot 29,Slot 66,Slot 67
35,Slot 23,Slot 33,Slot 67
36,Slot 5,Slot 11,Slot 52
37,Slot 1,Slot 65,
38,Slot 1,Slot 40,
39,Slot 12,Slot 48,
40,Slot 36,Slot 43,Slot 51
41,Slot 17,Slot 39,Slot 56
42,Slot 14,Slot 62,Slot 63
43,Slot 9,Slot 25,Slot 58
44,Slot 27,Slot 37,Slot 54
45,Slot 24,Slot 48,Slot 57
46,Slot 11,Slot 25,Slot 64
47,Slot 15,Slot 60,Slot 64
48,Slot 46,Slot 51,
49,Slot 3,Slot 6,Slot 10
50,Slot 34,Slot 42,Slot 46
