student,slot 1,slot 2,slot 3
1,Slot 7,Slot 57,
2,Slot 4,Slot 44,Slot 45
3,Slot 22,Slot 36,Slot 67
4,Slot 2,Slot 15,
5,Slot 24,Slot 28,Slot 52
6,Slot 9,Slot 26,Slot 35
7,Slot 26,Slot 33,Slot 47
8,Slot 5,Slot 32,Slot 33
9,Slot 29,Slot 30,Slot 55
10,Slot 60,Slot 61,
11,Slot 3,Slot 32,Slot 53
12,Slot 53,Slot 58,Slot 64
13,Slot 49,Slot 59,Slot 67
14,Slot 38,Slot 41,Slot 56
15,Slot 16,Slot 60,Slot 62
16,Slot 11,Slot 42,Slot 46
17,Slot 12,Slot 50,Slot 65
18,Slot 27,Slot 34,Slot 39
19,Slot 35,Slot 66,
20,Slot 4,Slot 19,Slot 37
21,Slot 13,Slot 55,Slot 65
22,Slot 12,Slot 41,Slot 63
23,Slot 5,Slot 42,Slot 52
24,Slot 6,Slot 9,Slot 29
25,Slot 16,Slot 20,Slot 44
26,Slot 20,Slot 34,Slot 50
27,Slot 21,Slot 22,Slot 54
28,Slot 7,Slot 13,
29,Slot 19,Slot 62,
30,Slot 27,Slot 31,
31,Slot 8,Slot 25,Slot 28
32,Slot 6,Slot 31,Slot 59
33,Slot 1,Slot 61,
34,Slot 48,Slot 66,
35,Slot 18,Slot 51,
36,Slot 2,Slot 64,
37,Slot 10,Slot 23,
38,Slot 11,Slot 46,
39,Slot 14,Slot 48,
40,Slot 36,Slot 40,Slot 56
41,Slot 1,Slot 37,Slot 38
42,Slot 14,Slot 57,Slot 63
43,Slot 18,Slot 21,Slot 47
44,Slot 23,Slot 25,Slot 51
45,Slot 17,Slot 39,Slot 43
46,Slot 8,Slot 15,Slot 24
47,Slot 17,Slot 58,
48,Slot 43,Slot 49,
49,Slot 10,Slot 30,Slot 54
50,Slot 3,Slot 40,Slot 45
