student,slot 1,slot 2,slot 3
1,Slot 29,Slot 30,
2,Slot 5,Slot 38,Slot 50
3,Slot 12,Slot 61,Slot 65
4,Slot 11,Slot 14,
5,Slot 21,Slot 31,Slot 54
6,Slot 4,Slot 25,Slot 39
7,Slot 26,Slot 27,Slot 43
8,Slot 25,Slot 33,Slot 52
9,Slot 8,Slot 40,Slot 55
10,Slot 26,Slot 28,Slot 57
11,Slot 16,Slot 60,Slot 63
12,Slot 53,Slot 64,
13,Slot 52,Slot 54,Slot 58
14,Slot 28,Slot 51,Slot 55
15,Slot 3,Slot 34,Slot 56
16,Slot 44,Slot 47,
17,Slot 3,Slot 22,Slot 46
18,Slot 35,Slot 37,Slot 38
19,Slot 7,Slot 35,Slot 36
20,Slot 19,Slot 36,Slot 48
21,Slot 13,Slot 67,
22,Slot 11,Slot 40,Slot 63
23,Slot 50,Slot 57,
24,Slot 13,Slot 34,
25,Slot 6,Slot 18,Slot 19
26,Slot 23,Slot 30,Slot 49
27,Slot 16,Slot 21,
28,Slot 29,Slot 42,
29,Slot 18,Slot 27,
30,Slot 2,Slot 10,Slot 44
31,Slot 2,Slot 41,
32,Slot 4,Slot 49,Slot 59
33,Slot 5,Slot 20,
34,Slot 8,Slot 33,
35,Slot 20,Slot 32,
36,Slot 6,Slot 62,Slot 66
37,Slot 1,Slot 9,Slot 10
38,Slot 9,Slot 45,Slot 48
39,Slot 14,Slot 56,
40,Slot 12,Slot 42,Slot 60
41,Slot 15,Slot 43,Slot 58
42,Slot 7,Slot 17,Slot 65
43,Slot 17,Slot 24,Slot 62
44,Slot 24,Slot 37,Slot 45
45,Slot 23,Slot 51,Slot 53
46,Slot 15,Slot 66,Slot 67
47,Slot 22,Slot 61,Slot 64
48,Slot 41,Slot 47,
49,Slot 1,Slot 31,Slot 59
50,Slot 32,Slot 39,Slot 46
