student,slot 1,slot 2,slot 3
1,Slot 7,Slot 29,
2,Slot 5,Slot 39,Slot 47
3,Slot 6,Slot 10,Slot 45
4,Slot 20,Slot 26,
5,Slot 12,Slot 41,Slot 49
6,Slot 15,Slot 34,Slot 60
7,Slot 2,Slot 19,Slot 44
8,Slot 18,Slot 51,Slot 65
9,Slot 27,Slot 31,
10,Slot 27,Slot 55,Slot 66
11,Slot 58,Slot 59,Slot 63
12,Slot 13,Slot 55,Slot 67
13,Slot 60,Slot 62,Slot 63
14,Slot 3,Slot 52,Slot 56
15,Slot 31,Slot 33,
16,Slot 37,Slot 40,Slot 54
17,Slot 25,Slot 32,Slot 49
18,Slot 33,Slot 41,Slot 43
19,Slot 9,Slot 34,Slot 35
20,Slot 21,Slot 38,Slot 42
21,Slot 2,Slot 67,
22,Slot 11,Slot 40,Slot 62
23,Slot 48,Slot 56,
24,Slot 3,Slot 61,
25,Slot 13,Slot 14,Slot 64
26,Slot 5,Slot 22,Slot 38
27,Slot 16,Slot 17,
28,Slot 20,Slot 23,
29,Slot 16,Slot 22,
30,Slot 18,Slot 21,Slot 47
31,Slot 24,Slot 35,
32,Slot 8,Slot 36,Slot 46
33,Slot 24,Slot 50,
34,Slot 9,Slot 26,Slot 66
35,Slot 7,Slot 25,Slot 37
36,Slot 4,Slot 59,Slot 61
37,Slot 10,Slot 12,
38,Slot 15,Slot 46,
39,Slot 19,Slot 51,
40,Slot 4,Slot 44,Slot 54
41,Slot 8,Slot 39,Slot 52
42,Slot 28,Slot 57,Slot 58
43,Slot 28,Slot 30,Slot 57
44,Slot 30,Slot 32,Slot 50
45,Slot 17,Slot 45,Slot 53
46,Slot 14,Slot 29,Slot 65
47,Slot 6,Slot 23,Slot 64
48,Slot 43,Slot 48,
49,Slot 1,Slot 11,Slot 53
50,Slot 1,Slot 36,Slot 42
