student,slot 1,slot 2,slot 3
1,Slot 3,Slot 10,
2,Slot 38,Slot 47,Slot 48
3,Slot 4,Slot 10,Slot 64
4,Slot 18,Slot 33,
5,Slot 17,Slot 27,Slot 56
6,Slot 24,Slot 41,Slot 43
7,Slot 24,Slot 28,Slot 37
8,Slot 29,Slot 30,Slot 51
9,Slot 12,Slot 39,Slot 65
10,Slot 6,Slot 57,
11,Slot 17,Slot 60,Slot 62
12,Slot 15,Slot 53,Slot 66
13,Slot 8,Slot 55,Slot 58
14,Slot 16,Slot 35,Slot 52
15,Slot 33,Slot 61,
16,Slot 28,Slot 45,Slot 48
17,Slot 29,Slot 36,Slot 47
18,Slot 34,Slot 38,Slot 50
19,Slot 8,Slot 31,Slot 34
20,Slot 2,Slot 21,Slot 44
21,Slot 14,Slot 65,
22,Slot 13,Slot 44,Slot 64
23,Slot 46,Slot 58,Slot 63
24,Slot 11,Slot 32,
25,Slot 13,Slot 19,Slot 45
26,Slot 25,Slot 36,Slot 52
27,Slot 19,Slot 57,
28,Slot 20,Slot 22,
29,Slot 21,Slot 22,
30,Slot 5,Slot 20,Slot 30
31,Slot 7,Slot 32,Slot 39
32,Slot 5,Slot 41,Slot 60
33,Slot 27,Slot 54,
34,Slot 7,Slot 15,
35,Slot 18,Slot 26,
36,Slot 6,Slot 40,Slot 59
37,Slot 1,Slot 11,
38,Slot 12,Slot 49,
39,Slot 2,Slot 49,
40,Slot 46,Slot 55,Slot 66
41,Slot 4,Slot 42,Slot 59
42,Slot 14,Slot 61,Slot 63
43,Slot 23,Slot 26,Slot 56
44,Slot 9,Slot 37,Slot 51
45,Slot 9,Slot 23,Slot 31
46,Slot 25,Slot 40,Slot 67
47,Slot 16,Slot 62,Slot 67
48,Slot 50,Slot 54,
49,Slot 1,Slot 35,Slot 53
50,Slot 3,Slot 42,Slot 43
