student,slot 1,slot 2,slot 3
1,Slot 24,Slot 56,
2,Slot 35,Slot 40,Slot 41
3,Slot 27,Slot 34,Slot 36
4,Slot 18,Slot 33,Slot 47
5,Slot 11,Slot 27,Slot 52
6,Slot 5,Slot 21,Slot 26
7,Slot 30,Slot 45,Slot 61
8,Slot 14,Slot 31,Slot 38
9,Slot 4,Slot 12,
10,Slot 3,Slot 6,
11,Slot 6,Slot 25,
12,Slot 8,Slot 15,
13,Slot 55,Slot 58,Slot 65
14,Slot 4,Slot 20,Slot 51
15,Slot 33,Slot 49,Slot 61
16,Slot 23,Slot 42,Slot 64
17,Slot 31,Slot 36,Slot 51
18,Slot 32,Slot 48,Slot 50
19,Slot 32,Slot 34,Slot 67
20,Slot 2,Slot 17,Slot 50
21,Slot 1,Slot 43,Slot 65
22,Slot 7,Slot 17,Slot 58
23,Slot 44,Slot 46,Slot 63
24,Slot 12,Slot 25,
25,Slot 19,Slot 22,Slot 37
26,Slot 19,Slot 28,Slot 52
27,Slot 20,Slot 57,Slot 62
28,Slot 14,Slot 26,
29,Slot 18,Slot 63,
30,Slot 3,Slot 30,
31,Slot 29,Slot 39,Slot 67
32,Slot 37,Slot 38,Slot 53
33,Slot 10,Slot 53,
34,Slot 7,Slot 15,
35,Slot 24,Slot 41,
36,Slot 42,Slot 59,Slot 60
37,Slot 11,Slot 13,
38,Slot 16,Slot 46,
39,Slot 43,Slot 64,
40,Slot 49,Slot 54,Slot 66
41,Slot 39,Slot 48,Slot 59
42,Slot 2,Slot 56,Slot 62
43,Slot 22,Slot 23,Slot 54
44,Slot 9,Slot 28,Slot 55
45,Slot 9,Slot 21,Slot 44
46,Slot 8,Slot 13,Slot 40
47,Slot 16,Slot 35,Slot 60
48,Slot 45,Slot 47,
49,Slot 1,Slot 10,Slot 57
50,Slot 5,Slot 29,Slot 66
