student,slot 1,slot 2,slot 3
1,Slot 17,Slot 62,
2,Slot 30,Slot 46,Slot 47
3,Slot 1,Slot 33,Slot 44
4,Slot 11,Slot 52,Slot 57
5,Slot 16,Slot 49,Slot 61
6,Slot 21,Slot 22,Slot 38
7,Slot 22,Slot 36,Slot 37
8,Slot 26,Slot 34,Slot 50
9,Slot 28,Slot 32,
10,Slot 8,Slot 23,Slot 25
11,Slot 27,Slot 55,
12,Slot 7,Slot 60,Slot 65
13,Slot 52,Slot 58,Slot 63
14,Slot 5,Slot 33,Slot 48
15,Slot 6,Slot 42,Slot 54
16,Slot 28,Slot 50,Slot 67
17,Slot 12,Slot 29,Slot 41
18,Slot 24,Slot 25,Slot 37
19,Slot 3,Slot 29,
20,Slot 19,Slot 30,Slot 38
21,Slot 18,Slot 39,Slot 59
22,Slot 40,Slot 53,Slot 64
23,Slot 45,Slot 53,Slot 57
24,Slot 15,Slot 32,
25,Slot 10,Slot 34,Slot 41
26,Slot 3,Slot 43,Slot 60
27,Slot 8,Slot 11,Slot 13
28,Slot 19,Slot 65,
29,Slot 64,Slot 67,
30,Slot 16,Slot 43,Slot 66
31,Slot 35,Slot 59,
32,Slot 4,Slot 39,Slot 46
33,Slot 14,Slot 58,
34,Slot 9,Slot 18,
35,Slot 9,Slot 26,
36,Slot 40,Slot 61,Slot 66
37,Slot 10,Slot 13,
38,Slot 45,Slot 51,
39,Slot 7,Slot 54,
40,Slot 15,Slot 42,Slot 56
41,Slot 24,Slot 36,Slot 44
42,Slot 14,Slot 62,
43,Slot 2,Slot 20,Slot 47
44,Slot 6,Slot 20,Slot 21
45,Slot 23,Slot 35,Slot 48
46,Slot 12,Slot 51,
47,Slot 2,Slot 31,Slot 63
48,Slot 5,Slot 49,Slot 55
49,Slot 1,Slot 31,Slot 56
50,Slot 4,Slot 17,Slot 27
