student,slot 1,slot 2,slot 3
1,Slot 39,Slot 46,
2,Slot 2,Slot 4,
3,Slot 24,Slot 33,Slot 55
4,Slot 7,Slot 17,Slot 44
5,Slot 6,Slot 13,Slot 63
6,Slot 23,Slot 48,Slot 55
7,Slot 25,Slot 26,Slot 42
8,Slot 28,Slot 31,Slot 37
9,Slot 27,Slot 35,
10,Slot 26,Slot 31,
11,Slot 9,Slot 29,Slot 63
12,Slot 8,Slot 30,Slot 60
13,Slot 39,Slot 49,Slot 64
14,Slot 40,Slot 53,Slot 56
15,Slot 22,Slot 53,
16,Slot 3,Slot 5,Slot 67
17,Slot 32,Slot 34,Slot 54
18,Slot 32,Slot 47,Slot 60
19,Slot 33,Slot 35,
20,Slot 15,Slot 49,Slot 65
21,Slot 41,Slot 58,Slot 62
22,Slot 8,Slot 54,Slot 66
23,Slot 41,Slot 43,Slot 59
24,Slot 22,Slot 45,Slot 56
25,Slot 1,Slot 14,Slot 38
26,Slot 18,Slot 19,Slot 61
27,Slot 9,Slot 20,Slot 58
28,Slot 1,Slot 23,
29,Slot 11,Slot 57,Slot 67
30,Slot 21,Slot 45,
31,Slot 7,Slot 20,Slot 59
32,Slot 25,Slot 38,Slot 66
33,Slot 4,Slot 11,
34,Slot 14,Slot 52,
35,Slot 13,Slot 21,
36,Slot 46,Slot 47,Slot 61
37,Slot 12,Slot 48,
38,Slot 36,Slot 51,
39,Slot 2,Slot 12,
40,Slot 5,Slot 16,Slot 52
41,Slot 17,Slot 29,Slot 44
42,Slot 50,Slot 64,
43,Slot 19,Slot 36,Slot 42
44,Slot 27,Slot 28,Slot 62
45,Slot 15,Slot 24,Slot 40
46,Slot 10,Slot 16,Slot 65
47,Slot 34,Slot 37,Slot 57
48,Slot 43,Slot 51,
49,Slot 6,Slot 10,Slot 30
50,Slot 3,Slot 18,Slot 50
