student,slot 1,slot 2,slot 3
1,Slot 41,Slot 60,
2,Slot 43,Slot 44,Slot 57
3,Slot 15,Slot 38,
4,Slot 17,Slot 18,Slot 56
5,Slot 6,Slot 10,Slot 13
6,Slot 26,Slot 49,Slot 61
7,Slot 30,Slot 31,Slot 47
8,Slot 4,Slot 32,Slot 36
9,Slot 38,Slot 50,Slot 62
10,Slot 3,Slot 34,Slot 44
11,Slot 1,Slot 2,
12,Slot 33,Slot 59,Slot 65
13,Slot 7,Slot 50,Slot 65
14,Slot 45,Slot 53,Slot 63
15,Slot 22,Slot 34,Slot 58
16,Slot 6,Slot 47,Slot 67
17,Slot 17,Slot 28,Slot 58
18,Slot 35,Slot 48,Slot 57
19,Slot 36,Slot 42,
20,Slot 5,Slot 21,Slot 39
21,Slot 15,Slot 30,Slot 55
22,Slot 39,Slot 55,Slot 64
23,Slot 46,Slot 51,Slot 56
24,Slot 14,Slot 32,
25,Slot 16,Slot 19,Slot 40
26,Slot 27,Slot 41,Slot 54
27,Slot 23,Slot 26,
28,Slot 11,Slot 25,
29,Slot 24,Slot 27,
30,Slot 3,Slot 13,Slot 54
31,Slot 7,Slot 29,Slot 35
32,Slot 37,Slot 42,Slot 59
33,Slot 11,Slot 49,
34,Slot 4,Slot 14,
35,Slot 9,Slot 28,
36,Slot 9,Slot 63,Slot 67
37,Slot 12,Slot 40,
38,Slot 19,Slot 52,
39,Slot 10,Slot 45,
40,Slot 18,Slot 53,Slot 64
41,Slot 43,Slot 48,Slot 66
42,Slot 8,Slot 24,
43,Slot 20,Slot 21,Slot 51
44,Slot 8,Slot 29,Slot 31
45,Slot 25,Slot 46,Slot 61
46,Slot 16,Slot 20,
47,Slot 22,Slot 37,Slot 66
48,Slot 2,Slot 5,Slot 62
49,Slot 1,Slot 23,Slot 60
50,Slot 12,Slot 33,Slot 52
