student,slot 1,slot 2,slot 3
1,Slot 10,Slot 57,
2,Slot 5,Slot 38,Slot 52
3,Slot 16,Slot 40,Slot 64
4,Slot 15,Slot 20,
5,Slot 19,Slot 26,Slot 49
6,Slot 26,Slot 35,Slot 39
7,Slot 27,Slot 29,Slot 44
8,Slot 23,Slot 28,Slot 54
9,Slot 3,Slot 30,Slot 59
10,Slot 29,Slot 31,Slot 50
11,Slot 3,Slot 53,Slot 63
12,Slot 11,Slot 57,Slot 66
13,Slot 6,Slot 58,Slot 60
14,Slot 41,Slot 54,Slot 56
15,Slot 28,Slot 60,
16,Slot 32,Slot 42,Slot 48
17,Slot 23,Slot 45,Slot 65
18,Slot 31,Slot 34,Slot 38
19,Slot 33,Slot 36,
20,Slot 2,Slot 4,Slot 37
21,Slot 7,Slot 17,
22,Slot 12,Slot 41,Slot 65
23,Slot 52,Slot 55,
24,Slot 9,Slot 33,
25,Slot 6,Slot 13,Slot 16
26,Slot 25,Slot 37,Slot 45
27,Slot 2,Slot 15,
28,Slot 7,Slot 17,
29,Slot 8,Slot 21,
30,Slot 21,Slot 22,Slot 44
31,Slot 19,Slot 30,
32,Slot 34,Slot 43,Slot 58
33,Slot 24,Slot 49,
34,Slot 8,Slot 48,Slot 62
35,Slot 20,Slot 51,
36,Slot 43,Slot 62,Slot 63
37,Slot 10,Slot 12,Slot 64
38,Slot 14,Slot 47,
39,Slot 5,Slot 14,
40,Slot 36,Slot 42,Slot 59
41,Slot 1,Slot 39,Slot 46
42,Slot 13,Slot 66,Slot 67
43,Slot 18,Slot 25,Slot 61
44,Slot 4,Slot 27,Slot 50
45,Slot 22,Slot 51,Slot 56
46,Slot 9,Slot 11,Slot 24
47,Slot 18,Slot 61,Slot 67
48,Slot 47,Slot 53,
49,Slot 1,Slot 35,Slot 55
50,Slot 32,Slot 40,Slot 46
