student,slot 1,slot 2,slot 3
1,Slot 30,Slot 56,
2,Slot 40,Slot 42,Slot 44
3,Slot 21,Slot 41,Slot 67
4,Slot 22,Slot 53,
5,Slot 12,Slot 27,Slot 53
6,Slot 32,Slot 41,Slot 48
7,Slot 28,Slot 29,Slot 33
8,Slot 11,Slot 29,Slot 52
9,Slot 32,Slot 35,Slot 57
10,Slot 24,Slot 54,
11,Slot 55,Slot 61,Slot 66
12,Slot 31,Slot 59,Slot 67
13,Slot 9,Slot 56,Slot 59
14,Slot 19,Slot 44,Slot 58
15,Slot 31,Slot 37,
16,Slot 5,Slot 9,Slot 49
17,Slot 16,Slot 40,Slot 50
18,Slot 3,Slot 37,Slot 45
19,Slot 4,Slot 33,Slot 65
20,Slot 18,Slot 38,Slot 46
21,Slot 7,Slot 11,
22,Slot 8,Slot 16,Slot 60
23,Slot 39,Slot 43,Slot 45
24,Slot 6,Slot 26,
25,Slot 15,Slot 20,Slot 42
26,Slot 20,Slot 36,Slot 50
27,Slot 23,Slot 51,
28,Slot 2,Slot 13,
29,Slot 2,Slot 65,
30,Slot 26,Slot 28,
31,Slot 24,Slot 60,Slot 64
32,Slot 34,Slot 36,Slot 63
33,Slot 1,Slot 10,
34,Slot 17,Slot 63,Slot 66
35,Slot 10,Slot 18,
36,Slot 6,Slot 34,Slot 61
37,Slot 12,Slot 14,Slot 62
38,Slot 30,Slot 49,
39,Slot 14,Slot 52,
40,Slot 35,Slot 47,Slot 58
41,Slot 17,Slot 39,Slot 43
42,Slot 8,Slot 57,Slot 62
43,Slot 5,Slot 19,Slot 23
44,Slot 25,Slot 27,Slot 54
45,Slot 22,Slot 38,Slot 48
46,Slot 15,Slot 25,
47,Slot 7,Slot 21,Slot 64
48,Slot 46,Slot 51,
49,Slot 1,Slot 13,Slot 55
50,Slot 3,Slot 4,Slot 47
