student,slot 1,slot 2,slot 3
1,Slot 28,Slot 53,Slot 62
2,Slot 38,Slot 53,Slot 57
3,Slot 16,Slot 41,Slot 42
4,Slot 18,Slot 50,Slot 60
5,Slot 13,Slot 17,Slot 59
6,Slot 26,Slot 40,Slot 49
7,Slot 31,Slot 32,Slot 48
8,Slot 32,Slot 39,Slot 66
9,Slot 33,Slot 35,
10,Slot 45,Slot 65,
11,Slot 7,Slot 14,Slot 64
12,Slot 34,Slot 55,
13,Slot 9,Slot 21,Slot 63
14,Slot 40,Slot 44,Slot 64
15,Slot 25,Slot 26,Slot 51
16,Slot 45,Slot 54,Slot 61
17,Slot 7,Slot 15,Slot 42
18,Slot 36,Slot 48,Slot 66
19,Slot 24,Slot 34,
20,Slot 14,Slot 27,Slot 47
21,Slot 6,Slot 22,Slot 61
22,Slot 2,Slot 18,Slot 54
23,Slot 12,Slot 56,Slot 62
24,Slot 37,Slot 51,
25,Slot 13,Slot 19,Slot 43
26,Slot 23,Slot 38,Slot 65
27,Slot 12,Slot 22,
28,Slot 24,Slot 28,Slot 43
29,Slot 29,Slot 36,
30,Slot 1,Slot 10,Slot 57
31,Slot 4,Slot 30,
32,Slot 37,Slot 47,Slot 49
33,Slot 3,Slot 55,
34,Slot 8,Slot 41,
35,Slot 25,Slot 27,
36,Slot 6,Slot 44,Slot 60
37,Slot 11,Slot 35,
38,Slot 30,Slot 52,
39,Slot 8,Slot 52,
40,Slot 5,Slot 19,Slot 58
41,Slot 20,Slot 46,Slot 50
42,Slot 2,Slot 21,
43,Slot 17,Slot 56,Slot 63
44,Slot 31,Slot 33,Slot 67
45,Slot 3,Slot 23,Slot 46
46,Slot 15,Slot 20,
47,Slot 11,Slot 29,Slot 39
48,Slot 9,Slot 58,Slot 59
49,Slot 1,Slot 10,Slot 67
50,Slot 4,Slot 5,Slot 16
