student,slot 1,slot 2,slot 3
1,Slot 7,Slot 22,
2,Slot 5,Slot 11,Slot 41
3,Slot 9,Slot 18,Slot 59
4,Slot 22,Slot 25,
5,Slot 1,Slot 15,Slot 54
6,Slot 19,Slot 29,Slot 43
7,Slot 3,Slot 23,Slot 39
8,Slot 31,Slot 42,Slot 50
9,Slot 31,Slot 34,Slot 62
10,Slot 4,Slot 28,Slot 33
11,Slot 40,Slot 58,Slot 60
12,Slot 6,Slot 17,Slot 32
13,Slot 27,Slot 67,
14,Slot 38,Slot 64,Slot 65
15,Slot 19,Slot 48,Slot 61
16,Slot 49,Slot 58,Slot 60
17,Slot 16,Slot 29,Slot 49
18,Slot 6,Slot 35,Slot 42
19,Slot 35,Slot 37,
20,Slot 27,Slot 32,Slot 47
21,Slot 8,Slot 28,
22,Slot 14,Slot 20,Slot 48
23,Slot 10,Slot 55,Slot 63
24,Slot 9,Slot 12,Slot 36
25,Slot 18,Slot 20,Slot 52
26,Slot 4,Slot 50,Slot 51
27,Slot 21,Slot 26,
28,Slot 25,Slot 40,
29,Slot 26,Slot 33,
30,Slot 7,Slot 13,Slot 51
31,Slot 24,Slot 46,
32,Slot 39,Slot 45,Slot 56
33,Slot 23,Slot 54,
34,Slot 24,Slot 37,
35,Slot 3,Slot 14,
36,Slot 46,Slot 63,Slot 67
37,Slot 13,Slot 15,
38,Slot 30,Slot 52,
39,Slot 2,Slot 5,
40,Slot 43,Slot 53,Slot 61
41,Slot 44,Slot 45,Slot 53
42,Slot 16,Slot 66,
43,Slot 2,Slot 41,Slot 56
44,Slot 30,Slot 36,Slot 57
45,Slot 11,Slot 21,Slot 38
46,Slot 8,Slot 12,Slot 65
47,Slot 59,Slot 62,Slot 64
48,Slot 47,Slot 55,Slot 66
49,Slot 1,Slot 10,Slot 57
50,Slot 17,Slot 34,Slot 44
