student,slot 1,slot 2,slot 3
1,Slot 31,Slot 63,
2,Slot 29,Slot 32,Slot 41
3,Slot 9,Slot 30,Slot 38
4,Slot 2,Slot 21,
5,Slot 5,Slot 12,Slot 53
6,Slot 37,Slot 45,Slot 53
7,Slot 16,Slot 20,Slot 49
8,Slot 26,Slot 28,Slot 55
9,Slot 29,Slot 34,Slot 60
10,Slot 27,Slot 31,Slot 52
11,Slot 6,Slot 56,Slot 65
12,Slot 13,Slot 56,Slot 64
13,Slot 57,Slot 60,Slot 61
14,Slot 3,Slot 49,Slot 51
15,Slot 30,Slot 32,
16,Slot 14,Slot 43,Slot 57
17,Slot 1,Slot 5,Slot 9
18,Slot 4,Slot 23,Slot 40
19,Slot 4,Slot 7,Slot 40
20,Slot 23,Slot 25,Slot 42
21,Slot 13,Slot 66,
22,Slot 10,Slot 46,Slot 65
23,Slot 51,Slot 66,
24,Slot 11,Slot 34,
25,Slot 14,Slot 15,Slot 55
26,Slot 25,Slot 35,Slot 47
27,Slot 15,Slot 19,
28,Slot 18,Slot 36,
29,Slot 18,Slot 67,
30,Slot 17,Slot 19,
31,Slot 20,Slot 36,
32,Slot 33,Slot 43,Slot 59
33,Slot 47,Slot 64,
34,Slot 8,Slot 33,Slot 63
35,Slot 8,Slot 21,Slot 38
36,Slot 41,Slot 58,Slot 62
37,Slot 1,Slot 10,
38,Slot 17,Slot 48,
39,Slot 16,Slot 50,
40,Slot 37,Slot 46,Slot 58
41,Slot 24,Slot 39,Slot 52
42,Slot 22,Slot 61,Slot 62
43,Slot 22,Slot 26,Slot 59
44,Slot 27,Slot 39,Slot 48
45,Slot 24,Slot 45,Slot 54
46,Slot 12,Slot 28,Slot 67
47,Slot 2,Slot 6,Slot 7
48,Slot 44,Slot 50,
49,Slot 11,Slot 35,Slot 54
50,Slot 3,Slot 42,Slot 44
