student,slot 1,slot 2,slot 3
1,Slot 15,Slot 26,
2,Slot 5,Slot 49,Slot 55
3,Slot 17,Slot 37,Slot 57
4,Slot 16,Slot 61,Slot 67
5,Slot 13,Slot 24,Slot 30
6,Slot 20,Slot 26,Slot 40
7,Slot 27,Slot 43,Slot 50
8,Slot 28,Slot 29,Slot 37
9,Slot 2,Slot 31,
10,Slot 22,Slot 33,
11,Slot 7,Slot 47,
12,Slot 28,Slot 63,
13,Slot 8,Slot 48,
14,Slot 4,Slot 6,Slot 52
15,Slot 21,Slot 22,Slot 55
16,Slot 50,Slot 57,Slot 62
17,Slot 18,Slot 35,Slot 42
18,Slot 5,Slot 29,
19,Slot 3,Slot 30,Slot 63
20,Slot 25,Slot 39,Slot 49
21,Slot 53,Slot 58,Slot 64
22,Slot 53,Slot 54,Slot 65
23,Slot 32,Slot 51,Slot 59
24,Slot 38,Slot 41,Slot 44
25,Slot 15,Slot 19,Slot 48
26,Slot 11,Slot 35,Slot 38
27,Slot 20,Slot 36,Slot 65
28,Slot 27,Slot 41,Slot 64
29,Slot 33,Slot 62,Slot 66
30,Slot 13,Slot 59,Slot 67
31,Slot 40,Slot 45,
32,Slot 44,Slot 47,Slot 56
33,Slot 9,Slot 58,
34,Slot 9,Slot 21,
35,Slot 16,Slot 34,Slot 42
36,Slot 8,Slot 19,Slot 34
37,Slot 1,Slot 45,Slot 46
38,Slot 7,Slot 60,
39,Slot 12,Slot 66,
40,Slot 17,Slot 24,Slot 54
41,Slot 10,Slot 14,Slot 43
42,Slot 1,Slot 6,
43,Slot 18,Slot 61,
44,Slot 23,Slot 25,Slot 46
45,Slot 3,Slot 4,Slot 51
46,Slot 2,Slot 14,
47,Slot 23,Slot 31,Slot 32
48,Slot 12,Slot 52,Slot 60
49,Slot 10,Slot 11,
50,Slot 36,Slot 39,Slot 56
