student,slot 1,slot 2,slot 3
1,Slot 5,Slot 10,
2,Slot 39,Slot 42,Slot 44
3,Slot 6,Slot 11,Slot 46
4,Slot 17,Slot 18,
5,Slot 21,Slot 25,Slot 50
6,Slot 27,Slot 28,Slot 35
7,Slot 3,Slot 27,Slot 43
8,Slot 26,Slot 55,Slot 63
9,Slot 31,Slot 34,Slot 63
10,Slot 3,Slot 23,
11,Slot 31,Slot 58,Slot 61
12,Slot 14,Slot 30,Slot 66
13,Slot 42,Slot 53,Slot 56
14,Slot 8,Slot 14,Slot 55
15,Slot 30,Slot 32,
16,Slot 29,Slot 40,Slot 46
17,Slot 5,Slot 26,Slot 33
18,Slot 35,Slot 36,Slot 39
19,Slot 7,Slot 36,Slot 38
20,Slot 2,Slot 41,Slot 44
21,Slot 9,Slot 13,
22,Slot 11,Slot 41,Slot 59
23,Slot 54,Slot 65,
24,Slot 1,Slot 28,
25,Slot 12,Slot 15,Slot 57
26,Slot 20,Slot 48,Slot 59
27,Slot 12,Slot 15,
28,Slot 18,Slot 19,
29,Slot 9,Slot 52,Slot 54
30,Slot 16,Slot 21,Slot 43
31,Slot 22,Slot 37,
32,Slot 37,Slot 49,Slot 58
33,Slot 45,Slot 53,
34,Slot 8,Slot 34,Slot 64
35,Slot 22,Slot 66,
36,Slot 45,Slot 60,Slot 62
37,Slot 10,Slot 62,
38,Slot 16,Slot 47,
39,Slot 19,Slot 52,
40,Slot 4,Slot 6,Slot 40
41,Slot 38,Slot 50,Slot 51
42,Slot 23,Slot 65,Slot 67
43,Slot 24,Slot 25,Slot 61
44,Slot 24,Slot 33,Slot 49
45,Slot 2,Slot 56,Slot 64
46,Slot 7,Slot 13,Slot 17
47,Slot 20,Slot 60,Slot 67
48,Slot 47,Slot 51,
49,Slot 1,Slot 29,Slot 57
50,Slot 4,Slot 32,Slot 48
