student,slot 1,slot 2,slot 3
1,Slot 1,Slot 31,
2,Slot 44,Slot 46,Slot 47
3,Slot 10,Slot 49,Slot 67
4,Slot 24,Slot 29,
5,Slot 12,Slot 14,Slot 61
6,Slot 17,Slot 40,Slot 45
7,Slot 19,Slot 23,Slot 42
8,Slot 26,Slot 27,Slot 58
9,Slot 7,Slot 31,Slot 38
10,Slot 8,Slot 28,Slot 55
11,Slot 57,Slot 60,Slot 64
12,Slot 32,Slot 62,Slot 63
13,Slot 6,Slot 9,Slot 33
14,Slot 13,Slot 41,Slot 54
15,Slot 34,Slot 35,
16,Slot 5,Slot 27,Slot 50
17,Slot 2,Slot 33,Slot 59
18,Slot 23,Slot 37,Slot 45
19,Slot 39,Slot 41,
20,Slot 20,Slot 39,Slot 46
21,Slot 20,Slot 36,
22,Slot 15,Slot 53,Slot 64
23,Slot 48,Slot 54,Slot 56
24,Slot 10,Slot 32,
25,Slot 14,Slot 17,Slot 56
26,Slot 28,Slot 43,Slot 59
27,Slot 16,Slot 30,
28,Slot 2,Slot 18,
29,Slot 3,Slot 35,
30,Slot 5,Slot 21,Slot 30
31,Slot 4,Slot 8,
32,Slot 19,Slot 34,Slot 42
33,Slot 55,Slot 65,
34,Slot 21,Slot 38,
35,Slot 11,Slot 24,
36,Slot 51,Slot 66,Slot 67
37,Slot 7,Slot 13,Slot 15
38,Slot 1,Slot 52,
39,Slot 22,Slot 52,
40,Slot 48,Slot 49,Slot 62
41,Slot 25,Slot 43,Slot 44
42,Slot 16,Slot 65,Slot 66
43,Slot 25,Slot 29,Slot 58
44,Slot 4,Slot 22,Slot 60
45,Slot 26,Slot 37,Slot 50
46,Slot 3,Slot 11,
47,Slot 9,Slot 18,Slot 63
48,Slot 6,Slot 53,Slot 57
49,Slot 12,Slot 40,Slot 61
50,Slot 36,Slot 47,Slot 51
