student,slot 1,slot 2,slot 3
1,Slot 12,Slot 49,
2,Slot 6,Slot 41,Slot 44
3,Slot 1,Slot 36,Slot 43
4,Slot 15,Slot 16,Slot 46
5,Slot 17,Slot 35,Slot 55
6,Slot 22,Slot 28,Slot 57
7,Slot 25,Slot 61,Slot 63
8,Slot 24,Slot 27,Slot 47
9,Slot 8,Slot 33,Slot 36
10,Slot 34,Slot 50,
11,Slot 51,Slot 54,
12,Slot 2,Slot 26,
13,Slot 33,Slot 40,Slot 58
14,Slot 7,Slot 46,Slot 58
15,Slot 22,Slot 63,
16,Slot 42,Slot 48,Slot 67
17,Slot 6,Slot 17,
18,Slot 26,Slot 28,Slot 60
19,Slot 27,Slot 29,
20,Slot 15,Slot 42,Slot 62
21,Slot 1,Slot 5,Slot 29
22,Slot 9,Slot 16,Slot 56
23,Slot 39,Slot 43,Slot 44
24,Slot 30,Slot 53,Slot 67
25,Slot 13,Slot 32,Slot 53
26,Slot 2,Slot 5,Slot 20
27,Slot 18,Slot 37,Slot 41
28,Slot 19,Slot 34,Slot 60
29,Slot 8,Slot 11,Slot 65
30,Slot 23,Slot 65,
31,Slot 25,Slot 59,Slot 64
32,Slot 30,Slot 39,Slot 66
33,Slot 4,Slot 10,
34,Slot 45,Slot 55,
35,Slot 13,Slot 14,Slot 32
36,Slot 3,Slot 31,Slot 50
37,Slot 9,Slot 12,Slot 62
38,Slot 4,Slot 40,
39,Slot 19,Slot 49,
40,Slot 45,Slot 52,Slot 59
41,Slot 7,Slot 37,Slot 54
42,Slot 56,Slot 66,
43,Slot 18,Slot 24,Slot 47
44,Slot 3,Slot 14,Slot 21
45,Slot 20,Slot 38,Slot 52
46,Slot 21,Slot 61,
47,Slot 35,Slot 48,Slot 57
48,Slot 38,Slot 51,
49,Slot 10,Slot 11,
50,Slot 23,Slot 31,Slot 64
