student,slot 1,slot 2,slot 3
1,Slot 26,Slot 39,Slot 45
2,Slot 4,Slot 6,Slot 58
3,Slot 14,Slot 41,Slot 53
4,Slot 15,Slot 20,Slot 54
5,Slot 13,Slot 40,Slot 60
6,Slot 19,Slot 27,Slot 50
7,Slot 5,Slot 28,Slot 37
8,Slot 7,Slot 38,Slot 46
9,Slot 36,Slot 39,Slot 66
10,Slot 31,Slot 60,
11,Slot 14,Slot 36,
12,Slot 6,Slot 66,
13,Slot 8,Slot 24,Slot 65
14,Slot 28,Slot 48,Slot 64
15,Slot 7,Slot 51,Slot 56
16,Slot 2,Slot 55,Slot 62
17,Slot 19,Slot 23,Slot 47
18,Slot 5,Slot 12,Slot 41
19,Slot 4,Slot 42,
20,Slot 32,Slot 44,Slot 52
21,Slot 21,Slot 61,Slot 67
22,Slot 17,Slot 24,Slot 56
23,Slot 10,Slot 12,Slot 57
24,Slot 15,Slot 43,
25,Slot 16,Slot 18,Slot 48
26,Slot 30,Slot 32,Slot 58
27,Slot 8,Slot 26,Slot 65
28,Slot 29,Slot 35,
29,Slot 30,Slot 34,
30,Slot 27,Slot 33,Slot 57
31,Slot 35,Slot 42,
32,Slot 45,Slot 46,Slot 47
33,Slot 1,Slot 2,
34,Slot 25,Slot 34,
35,Slot 31,Slot 40,
36,Slot 23,Slot 61,Slot 63
37,Slot 11,Slot 13,
38,Slot 11,Slot 51,
39,Slot 9,Slot 59,
40,Slot 54,Slot 55,Slot 59
41,Slot 16,Slot 43,Slot 49
42,Slot 29,Slot 62,
43,Slot 20,Slot 22,Slot 53
44,Slot 25,Slot 33,Slot 64
45,Slot 3,Slot 18,Slot 49
46,Slot 9,Slot 17,Slot 21
47,Slot 22,Slot 44,Slot 67
48,Slot 38,Slot 50,
49,Slot 1,Slot 10,Slot 63
50,Slot 3,Slot 37,Slot 52
