student,slot 1,slot 2,slot 3
1,Slot 6,Slot 63,
2,Slot 24,Slot 47,Slot 49
3,Slot 8,Slot 36,
4,Slot 21,Slot 22,
5,Slot 11,Slot 44,Slot 56
6,Slot 19,Slot 30,Slot 50
7,Slot 4,Slot 21,Slot 33
8,Slot 3,Slot 27,Slot 57
9,Slot 34,Slot 37,Slot 65
10,Slot 25,Slot 34,
11,Slot 31,Slot 42,
12,Slot 17,Slot 28,Slot 66
13,Slot 57,Slot 62,Slot 67
14,Slot 42,Slot 43,Slot 52
15,Slot 29,Slot 32,Slot 53
16,Slot 30,Slot 55,Slot 59
17,Slot 13,Slot 31,Slot 51
18,Slot 5,Slot 32,Slot 35
19,Slot 39,Slot 53,
20,Slot 15,Slot 26,Slot 49
21,Slot 2,Slot 9,
22,Slot 15,Slot 51,Slot 61
23,Slot 44,Slot 45,Slot 48
24,Slot 12,Slot 28,
25,Slot 18,Slot 19,Slot 56
26,Slot 22,Slot 37,Slot 55
27,Slot 20,Slot 59,
28,Slot 17,Slot 38,
29,Slot 14,Slot 66,
30,Slot 12,Slot 23,
31,Slot 8,Slot 9,Slot 35
32,Slot 40,Slot 41,Slot 65
33,Slot 10,Slot 54,
34,Slot 7,Slot 33,Slot 67
35,Slot 7,Slot 26,Slot 41
36,Slot 4,Slot 6,Slot 60
37,Slot 11,Slot 16,
38,Slot 1,Slot 14,Slot 43
39,Slot 20,Slot 47,
40,Slot 52,Slot 54,Slot 61
41,Slot 36,Slot 46,Slot 48
42,Slot 16,Slot 62,Slot 63
43,Slot 3,Slot 5,Slot 27
44,Slot 23,Slot 38,Slot 58
45,Slot 18,Slot 40,Slot 45
46,Slot 13,Slot 25,Slot 64
47,Slot 2,Slot 60,Slot 64
48,Slot 39,Slot 46,
49,Slot 1,Slot 24,Slot 58
50,Slot 10,Slot 29,Slot 50
