student,slot 1,slot 2,slot 3
1,Slot 1,Slot 32,
2,Slot 5,Slot 35,Slot 50
3,Slot 11,Slot 47,Slot 60
4,Slot 20,Slot 28,
5,Slot 10,Slot 25,Slot 46
6,Slot 19,Slot 30,Slot 35
7,Slot 27,Slot 31,Slot 47
8,Slot 24,Slot 36,Slot 50
9,Slot 8,Slot 27,Slot 39
10,Slot 3,Slot 44,Slot 54
11,Slot 6,Slot 14,Slot 57
12,Slot 7,Slot 33,Slot 56
13,Slot 62,Slot 64,Slot 65
14,Slot 30,Slot 52,Slot 58
15,Slot 31,Slot 33,
16,Slot 6,Slot 46,Slot 48
17,Slot 11,Slot 28,Slot 49
18,Slot 2,Slot 41,Slot 57
19,Slot 34,Slot 42,
20,Slot 26,Slot 34,Slot 40
21,Slot 18,Slot 63,
22,Slot 39,Slot 45,Slot 67
23,Slot 58,Slot 60,Slot 65
24,Slot 10,Slot 36,
25,Slot 13,Slot 15,Slot 66
26,Slot 29,Slot 45,Slot 52
27,Slot 15,Slot 25,
28,Slot 21,Slot 37,
29,Slot 18,Slot 23,
30,Slot 17,Slot 19,Slot 48
31,Slot 17,Slot 37,
32,Slot 4,Slot 49,Slot 59
33,Slot 5,Slot 20,
34,Slot 8,Slot 38,
35,Slot 4,Slot 9,Slot 24
36,Slot 43,Slot 61,Slot 64
37,Slot 9,Slot 12,
38,Slot 16,Slot 51,
39,Slot 14,Slot 54,
40,Slot 41,Slot 42,Slot 59
41,Slot 21,Slot 38,Slot 55
42,Slot 7,Slot 22,Slot 62
43,Slot 22,Slot 26,Slot 53
44,Slot 29,Slot 32,Slot 56
45,Slot 2,Slot 55,Slot 61
46,Slot 12,Slot 13,Slot 67
47,Slot 16,Slot 63,Slot 66
48,Slot 44,Slot 51,
49,Slot 1,Slot 23,Slot 53
50,Slot 3,Slot 40,Slot 43
