student,slot 1,slot 2,slot 3
1,Slot 1,Slot 31,
2,Slot 39,Slot 46,Slot 47
3,Slot 6,Slot 7,Slot 42
4,Slot 17,Slot 19,
5,Slot 21,Slot 23,Slot 49
6,Slot 4,Slot 12,Slot 55
7,Slot 14,Slot 52,Slot 57
8,Slot 25,Slot 30,Slot 51
9,Slot 7,Slot 27,Slot 29
10,Slot 33,Slot 53,
11,Slot 28,Slot 62,Slot 63
12,Slot 33,Slot 58,Slot 67
13,Slot 54,Slot 56,Slot 57
14,Slot 31,Slot 46,Slot 47
15,Slot 35,Slot 38,
16,Slot 5,Slot 51,Slot 63
17,Slot 1,Slot 5,Slot 24
18,Slot 4,Slot 34,Slot 38
19,Slot 28,Slot 36,Slot 67
20,Slot 16,Slot 39,Slot 41
21,Slot 9,Slot 13,
22,Slot 29,Slot 44,Slot 60
23,Slot 48,Slot 50,
24,Slot 13,Slot 26,
25,Slot 11,Slot 12,Slot 59
26,Slot 22,Slot 35,Slot 53
27,Slot 8,Slot 16,Slot 19
28,Slot 18,Slot 34,
29,Slot 2,Slot 66,
30,Slot 20,Slot 21,
31,Slot 23,Slot 32,
32,Slot 32,Slot 41,Slot 62
33,Slot 22,Slot 49,
34,Slot 3,Slot 8,Slot 64
35,Slot 9,Slot 18,Slot 45
36,Slot 6,Slot 40,Slot 59
37,Slot 10,Slot 15,
38,Slot 14,Slot 44,
39,Slot 17,Slot 50,
40,Slot 36,Slot 40,Slot 56
41,Slot 37,Slot 45,Slot 54
42,Slot 24,Slot 60,Slot 65
43,Slot 26,Slot 55,Slot 66
44,Slot 27,Slot 37,Slot 52
45,Slot 20,Slot 43,Slot 58
46,Slot 11,Slot 30,Slot 65
47,Slot 15,Slot 61,Slot 64
48,Slot 42,Slot 48,
49,Slot 10,Slot 25,Slot 61
50,Slot 2,Slot 3,Slot 43
