student,slot 1,slot 2,slot 3
1,Slot 5,Slot 40,
2,Slot 47,Slot 48,Slot 50
3,Slot 21,Slot 35,Slot 37
4,Slot 2,Slot 22,Slot 44
5,Slot 11,Slot 33,Slot 58
6,Slot 7,Slot 13,Slot 47
7,Slot 25,Slot 43,Slot 63
8,Slot 31,Slot 32,Slot 39
9,Slot 6,Slot 34,
10,Slot 3,Slot 28,Slot 61
11,Slot 30,Slot 66,
12,Slot 52,Slot 61,Slot 67
13,Slot 29,Slot 56,Slot 57
14,Slot 27,Slot 30,Slot 55
15,Slot 18,Slot 39,Slot 59
16,Slot 8,Slot 51,Slot 53
17,Slot 14,Slot 53,Slot 54
18,Slot 32,Slot 36,Slot 45
19,Slot 36,Slot 41,
20,Slot 27,Slot 35,
21,Slot 11,Slot 19,Slot 52
22,Slot 13,Slot 54,Slot 62
23,Slot 49,Slot 51,Slot 64
24,Slot 15,Slot 33,
25,Slot 16,Slot 42,Slot 59
26,Slot 17,Slot 26,Slot 63
27,Slot 8,Slot 14,Slot 18
28,Slot 9,Slot 22,
29,Slot 9,Slot 26,
30,Slot 23,Slot 40,
31,Slot 3,Slot 25,Slot 62
32,Slot 31,Slot 43,Slot 45
33,Slot 7,Slot 10,
34,Slot 65,Slot 66,
35,Slot 24,Slot 29,
36,Slot 38,Slot 55,Slot 58
37,Slot 6,Slot 12,
38,Slot 15,Slot 46,
39,Slot 17,Slot 49,
40,Slot 5,Slot 37,Slot 56
41,Slot 2,Slot 4,Slot 46
42,Slot 19,Slot 23,Slot 65
43,Slot 20,Slot 28,Slot 48
44,Slot 21,Slot 60,Slot 64
45,Slot 24,Slot 42,Slot 44
46,Slot 1,Slot 16,Slot 67
47,Slot 4,Slot 20,Slot 57
48,Slot 10,Slot 38,
49,Slot 1,Slot 34,Slot 60
50,Slot 12,Slot 41,Slot 50
