student,slot 1,slot 2,slot 3
1,Slot 64,Slot 65,Slot 66
2,Slot 9,Slot 42,
3,Slot 10,Slot 11,
4,Slot 12,Slot 14,
5,Slot 15,Slot 16,
6,Slot 15,Slot 20,
7,Slot 13,Slot 14,
8,Slot 18,Slot 19,
9,Slot 17,Slot 32,
10,Slot 59,Slot 60,Slot 67
11,Slot 48,Slot 61,Slot 62
12,Slot 7,Slot 47,Slot 58
13,Slot 54,Slot 55,Slot 63
14,Slot 46,Slot 49,Slot 57
15,Slot 5,Slot 45,Slot 56
16,Slot 52,Slot 53,
17,Slot 43,Slot 51,
18,Slot 8,Slot 42,
19,Slot 41,Slot 50,
20,Slot 4,Slot 6,
21,Slot 44,Slot 45,
22,Slot 38,Slot 44,
23,Slot 38,Slot 43,
24,Slot 36,Slot 41,
25,Slot 4,Slot 40,
26,Slot 37,Slot 39,
27,Slot 39,Slot 40,
28,Slot 29,Slot 37,
29,Slot 3,Slot 36,
30,Slot 20,Slot 22,
31,Slot 16,Slot 23,
32,Slot 26,Slot 29,
33,Slot 30,Slot 31,
34,Slot 2,Slot 24,
35,Slot 32,Slot 33,
36,Slot 24,Slot 25,
37,Slot 12,Slot 34,
38,Slot 17,Slot 18,
39,Slot 13,Slot 28,
40,Slot 3,Slot 27,
41,Slot 22,Slot 25,
42,Slot 10,Slot 11,
43,Slot 19,Slot 33,
44,Slot 1,Slot 28,
45,Slot 27,Slot 35,
46,Slot 23,Slot 31,
47,Slot 2,Slot 26,
48,Slot 21,Slot 30,
49,Slot 21,Slot 34,
50,Slot 1,Slot 35,
