student,slot 1,slot 2,slot 3
1,Slot 50,Slot 52,Slot 67
2,Slot 45,Slot 66,
3,Slot 11,Slot 20,
4,Slot 12,Slot 18,
5,Slot 22,Slot 25,
6,Slot 14,Slot 15,
7,Slot 14,Slot 27,
8,Slot 24,Slot 34,
9,Slot 2,Slot 17,
10,Slot 53,Slot 61,Slot 63
11,Slot 44,Slot 58,Slot 64
12,Slot 55,Slot 56,Slot 57
13,Slot 8,Slot 9,Slot 42
14,Slot 46,Slot 48,
15,Slot 62,Slot 65,
16,Slot 47,Slot 49,Slot 60
17,Slot 39,Slot 45,
18,Slot 5,Slot 38,
19,Slot 7,Slot 37,
20,Slot 36,Slot 59,
21,Slot 6,Slot 35,
22,Slot 43,Slot 51,
23,Slot 42,Slot 43,
24,Slot 41,Slot 54,
25,Slot 40,Slot 41,
26,Slot 3,Slot 4,
27,Slot 4,Slot 40,
28,Slot 37,Slot 39,
29,Slot 22,Slot 38,
30,Slot 16,Slot 17,
31,Slot 32,Slot 33,
32,Slot 2,Slot 16,
33,Slot 1,Slot 10,
34,Slot 3,Slot 27,
35,Slot 1,Slot 13,
36,Slot 29,Slot 31,
37,Slot 19,Slot 23,
38,Slot 23,Slot 24,
39,Slot 12,Slot 20,
40,Slot 15,Slot 18,
41,Slot 25,Slot 26,
42,Slot 11,Slot 19,
43,Slot 26,Slot 30,
44,Slot 34,Slot 35,
45,Slot 10,Slot 13,
46,Slot 29,Slot 32,
47,Slot 21,Slot 31,
48,Slot 28,Slot 33,
49,Slot 28,Slot 30,
50,Slot 21,Slot 36,
