student,slot 1,slot 2,slot 3
1,Slot 8,Slot 64,Slot 65
2,Slot 41,Slot 48,
3,Slot 10,Slot 11,
4,Slot 11,Slot 12,
5,Slot 12,Slot 13,
6,Slot 13,Slot 14,
7,Slot 1,Slot 10,
8,Slot 14,Slot 15,
9,Slot 15,Slot 16,
10,Slot 7,Slot 9,Slot 50
11,Slot 6,Slot 51,Slot 53
12,Slot 56,Slot 59,Slot 60
13,Slot 49,Slot 55,Slot 61
14,Slot 5,Slot 66,Slot 67
15,Slot 45,Slot 47,Slot 62
16,Slot 44,Slot 54,Slot 62
17,Slot 52,Slot 58,
18,Slot 43,Slot 63,
19,Slot 41,Slot 57,
20,Slot 46,Slot 48,
21,Slot 4,Slot 43,
22,Slot 42,Slot 45,
23,Slot 38,Slot 40,
24,Slot 40,Slot 42,
25,Slot 4,Slot 36,
26,Slot 38,Slot 39,
27,Slot 34,Slot 39,
28,Slot 35,Slot 37,
29,Slot 17,Slot 37,
30,Slot 31,Slot 32,
31,Slot 30,Slot 33,
32,Slot 17,Slot 18,
33,Slot 24,Slot 29,
34,Slot 26,Slot 30,
35,Slot 21,Slot 23,
36,Slot 19,Slot 22,
37,Slot 2,Slot 19,
38,Slot 25,Slot 28,
39,Slot 2,Slot 18,
40,Slot 22,Slot 23,
41,Slot 3,Slot 27,
42,Slot 20,Slot 29,
43,Slot 25,Slot 27,
44,Slot 21,Slot 26,
45,Slot 32,Slot 33,
46,Slot 1,Slot 16,
47,Slot 3,Slot 28,
48,Slot 20,Slot 24,
49,Slot 31,Slot 34,
50,Slot 35,Slot 36,
