student,slot 1,slot 2,slot 3
1,Slot 50,Slot 65,Slot 66
2,Slot 40,Slot 46,
3,Slot 10,Slot 35,
4,Slot 14,Slot 35,
5,Slot 3,Slot 15,
6,Slot 11,Slot 12,
7,Slot 1,Slot 10,
8,Slot 16,Slot 17,
9,Slot 16,Slot 18,
10,Slot 63,Slot 64,Slot 67
11,Slot 60,Slot 61,Slot 62
12,Slot 48,Slot 58,Slot 59
13,Slot 47,Slot 48,Slot 49
14,Slot 51,Slot 53,Slot 55
15,Slot 45,Slot 54,Slot 56
16,Slot 9,Slot 45,Slot 57
17,Slot 5,Slot 44,Slot 46
18,Slot 6,Slot 42,Slot 52
19,Slot 7,Slot 8,
20,Slot 38,Slot 47,
21,Slot 4,Slot 44,
22,Slot 38,Slot 41,
23,Slot 39,Slot 43,
24,Slot 37,Slot 43,
25,Slot 4,Slot 40,
26,Slot 41,Slot 42,
27,Slot 37,Slot 39,
28,Slot 33,Slot 36,
29,Slot 20,Slot 26,
30,Slot 2,Slot 22,
31,Slot 19,Slot 32,
32,Slot 15,Slot 18,
33,Slot 3,Slot 29,
34,Slot 24,Slot 25,
35,Slot 1,Slot 12,
36,Slot 22,Slot 23,
37,Slot 26,Slot 27,
38,Slot 19,Slot 24,
39,Slot 13,Slot 14,
40,Slot 13,Slot 32,
41,Slot 33,Slot 34,
42,Slot 17,Slot 36,
43,Slot 23,Slot 31,
44,Slot 11,Slot 20,
45,Slot 2,Slot 21,
46,Slot 28,Slot 29,
47,Slot 30,Slot 31,
48,Slot 21,Slot 28,
49,Slot 25,Slot 27,
50,Slot 30,Slot 34,
