student,slot 1,slot 2,slot 3
1,Slot 57,Slot 59,Slot 60
2,Slot 52,Slot 55,
3,Slot 21,Slot 33,
4,Slot 3,Slot 26,
5,Slot 18,Slot 19,
6,Slot 19,Slot 20,
7,Slot 14,Slot 22,
8,Slot 2,Slot 22,
9,Slot 2,Slot 21,
10,Slot 5,Slot 49,Slot 61
11,Slot 7,Slot 8,Slot 44
12,Slot 42,Slot 43,
13,Slot 42,Slot 58,Slot 64
14,Slot 47,Slot 62,
15,Slot 46,Slot 66,
16,Slot 4,Slot 67,
17,Slot 4,Slot 48,
18,Slot 38,Slot 63,
19,Slot 51,Slot 56,
20,Slot 36,Slot 53,
21,Slot 50,Slot 65,
22,Slot 6,Slot 45,
23,Slot 40,Slot 41,
24,Slot 9,Slot 41,
25,Slot 31,Slot 54,
26,Slot 37,Slot 40,
27,Slot 35,Slot 37,
28,Slot 38,Slot 39,
29,Slot 27,Slot 28,
30,Slot 25,Slot 35,
31,Slot 1,Slot 23,
32,Slot 17,Slot 24,
33,Slot 13,Slot 20,
34,Slot 10,Slot 14,
35,Slot 28,Slot 36,
36,Slot 23,Slot 24,
37,Slot 11,Slot 12,
38,Slot 26,Slot 33,
39,Slot 16,Slot 39,
40,Slot 10,Slot 13,
41,Slot 12,Slot 15,
42,Slot 27,Slot 29,
43,Slot 30,Slot 31,
44,Slot 17,Slot 18,
45,Slot 32,Slot 34,
46,Slot 15,Slot 29,
47,Slot 16,Slot 25,
48,Slot 1,Slot 11,
49,Slot 3,Slot 32,
50,Slot 30,Slot 34,
