student,slot 1,slot 2,slot 3
1,Slot 5,Slot 59,Slot 60
2,Slot 44,Slot 45,
3,Slot 11,Slot 14,
4,Slot 15,Slot 25,
5,Slot 13,Slot 14,
6,Slot 19,Slot 35,
7,Slot 10,Slot 12,
8,Slot 17,Slot 32,
9,Slot 17,Slot 28,
10,Slot 49,Slot 53,Slot 64
11,Slot 52,Slot 61,Slot 65
12,Slot 48,Slot 51,Slot 67
13,Slot 54,Slot 55,Slot 56
14,Slot 50,Slot 58,Slot 63
15,Slot 6,Slot 62,Slot 66
16,Slot 9,Slot 47,Slot 57
17,Slot 7,Slot 8,
18,Slot 46,Slot 47,
19,Slot 44,Slot 45,
20,Slot 41,Slot 43,
21,Slot 42,Slot 43,
22,Slot 4,Slot 42,
23,Slot 4,Slot 40,
24,Slot 40,Slot 41,
25,Slot 38,Slot 39,
26,Slot 38,Slot 39,
27,Slot 36,Slot 37,
28,Slot 23,Slot 37,
29,Slot 25,Slot 33,
30,Slot 22,Slot 23,
31,Slot 26,Slot 29,
32,Slot 21,Slot 34,
33,Slot 2,Slot 24,
34,Slot 15,Slot 16,
35,Slot 3,Slot 29,
36,Slot 27,Slot 34,
37,Slot 27,Slot 28,
38,Slot 10,Slot 11,
39,Slot 12,Slot 13,
40,Slot 1,Slot 18,
41,Slot 26,Slot 33,
42,Slot 1,Slot 2,
43,Slot 19,Slot 20,
44,Slot 3,Slot 30,
45,Slot 16,Slot 18,
46,Slot 20,Slot 22,
47,Slot 21,Slot 36,
48,Slot 32,Slot 35,
49,Slot 30,Slot 31,
50,Slot 24,Slot 31,
