student,slot 1,slot 2,slot 3
1,Slot 58,Slot 61,Slot 66
2,Slot 42,Slot 44,
3,Slot 18,Slot 20,
4,Slot 35,Slot 36,
5,Slot 17,Slot 34,
6,Slot 13,Slot 25,
7,Slot 2,Slot 18,
8,Slot 30,Slot 36,
9,Slot 22,Slot 23,
10,Slot 59,Slot 60,Slot 63
11,Slot 5,Slot 49,Slot 65
12,Slot 48,Slot 55,Slot 67
13,Slot 52,Slot 54,Slot 57
14,Slot 8,Slot 47,Slot 56
15,Slot 9,Slot 46,Slot 50
16,Slot 51,Slot 53,Slot 64
17,Slot 7,Slot 62,
18,Slot 6,Slot 45,
19,Slot 45,Slot 46,
20,Slot 42,Slot 44,
21,Slot 40,Slot 43,
22,Slot 40,Slot 43,
23,Slot 39,Slot 41,
24,Slot 39,Slot 41,
25,Slot 4,Slot 37,
26,Slot 4,Slot 37,
27,Slot 35,Slot 38,
28,Slot 24,Slot 38,
29,Slot 28,Slot 29,
30,Slot 19,Slot 28,
31,Slot 21,Slot 24,
32,Slot 27,Slot 31,
33,Slot 2,Slot 19,
34,Slot 3,Slot 16,
35,Slot 30,Slot 33,
36,Slot 21,Slot 23,
37,Slot 1,Slot 20,
38,Slot 17,Slot 29,
39,Slot 1,Slot 11,
40,Slot 12,Slot 13,
41,Slot 3,Slot 27,
42,Slot 31,Slot 32,
43,Slot 14,Slot 16,
44,Slot 26,Slot 34,
45,Slot 32,Slot 33,
46,Slot 22,Slot 26,
47,Slot 15,Slot 25,
48,Slot 10,Slot 12,
49,Slot 14,Slot 15,
50,Slot 10,Slot 11,
