student,slot 1,slot 2,slot 3
1,Slot 58,Slot 60,Slot 63
2,Slot 44,Slot 45,
3,Slot 30,Slot 35,
4,Slot 13,Slot 14,
5,Slot 2,Slot 23,
6,Slot 14,Slot 21,
7,Slot 20,Slot 22,
8,Slot 18,Slot 21,
9,Slot 2,Slot 17,
10,Slot 5,Slot 50,Slot 59
11,Slot 48,Slot 49,Slot 64
12,Slot 51,Slot 66,Slot 67
13,Slot 53,Slot 56,Slot 57
14,Slot 46,Slot 62,
15,Slot 7,Slot 8,Slot 9
16,Slot 54,Slot 55,
17,Slot 43,Slot 52,
18,Slot 6,Slot 43,
19,Slot 47,Slot 61,Slot 65
20,Slot 4,Slot 44,
21,Slot 42,Slot 46,
22,Slot 37,Slot 42,
23,Slot 40,Slot 41,
24,Slot 37,Slot 38,
25,Slot 4,Slot 41,
26,Slot 38,Slot 39,
27,Slot 35,Slot 40,
28,Slot 11,Slot 39,
29,Slot 15,Slot 16,
30,Slot 31,Slot 34,
31,Slot 19,Slot 36,
32,Slot 19,Slot 32,
33,Slot 17,Slot 18,
34,Slot 1,Slot 11,
35,Slot 20,Slot 24,
36,Slot 24,Slot 32,
37,Slot 27,Slot 34,
38,Slot 25,Slot 26,
39,Slot 12,Slot 13,
40,Slot 22,Slot 23,
41,Slot 16,Slot 29,
42,Slot 3,Slot 28,
43,Slot 3,Slot 15,
44,Slot 1,Slot 10,
45,Slot 10,Slot 12,
46,Slot 27,Slot 33,
47,Slot 31,Slot 33,
48,Slot 25,Slot 26,
49,Slot 29,Slot 30,
50,Slot 28,Slot 36,
