student,slot 1,slot 2,slot 3
1,Slot 5,Slot 60,Slot 66
2,Slot 4,Slot 54,
3,Slot 11,Slot 40,
4,Slot 14,Slot 15,
5,Slot 13,Slot 14,
6,Slot 3,Slot 29,
7,Slot 10,Slot 12,
8,Slot 18,Slot 19,
9,Slot 16,Slot 21,
10,Slot 61,Slot 63,Slot 65
11,Slot 6,Slot 49,Slot 64
12,Slot 9,Slot 48,Slot 56
13,Slot 47,Slot 57,
14,Slot 45,Slot 55,
15,Slot 7,Slot 45,
16,Slot 41,Slot 53,
17,Slot 41,Slot 67,
18,Slot 8,Slot 46,
19,Slot 43,Slot 52,
20,Slot 4,Slot 51,
21,Slot 38,Slot 39,
22,Slot 38,Slot 59,
23,Slot 42,Slot 58,
24,Slot 36,Slot 37,
25,Slot 35,Slot 50,
26,Slot 34,Slot 35,
27,Slot 36,Slot 44,
28,Slot 27,Slot 62,
29,Slot 22,Slot 40,
30,Slot 25,Slot 39,
31,Slot 34,Slot 37,
32,Slot 15,Slot 17,
33,Slot 20,Slot 21,
34,Slot 17,Slot 18,
35,Slot 20,Slot 24,
36,Slot 30,Slot 33,
37,Slot 3,Slot 29,
38,Slot 2,Slot 23,
39,Slot 12,Slot 13,
40,Slot 27,Slot 28,
41,Slot 24,Slot 30,
42,Slot 10,Slot 32,
43,Slot 16,Slot 19,
44,Slot 23,Slot 26,
45,Slot 1,Slot 2,
46,Slot 22,Slot 25,
47,Slot 1,Slot 11,
48,Slot 26,Slot 31,
49,Slot 28,Slot 31,
50,Slot 32,Slot 33,
