student,slot 1,slot 2,slot 3
1,Slot 60,Slot 61,Slot 62
2,Slot 4,Slot 50,
3,Slot 31,Slot 32,
4,Slot 15,Slot 16,
5,Slot 12,Slot 13,
6,Slot 34,Slot 35,
7,Slot 20,Slot 21,
8,Slot 23,Slot 24,
9,Slot 33,Slot 35,
10,Slot 58,Slot 63,Slot 64
11,Slot 48,Slot 59,
12,Slot 65,Slot 66,Slot 67
13,Slot 46,Slot 56,
14,Slot 45,Slot 55,Slot 57
15,Slot 44,Slot 52,
16,Slot 51,Slot 54,
17,Slot 47,Slot 49,
18,Slot 41,Slot 53,
19,Slot 4,Slot 6,
20,Slot 7,Slot 40,
21,Slot 9,Slot 38,
22,Slot 5,Slot 8,Slot 38
23,Slot 36,Slot 43,
24,Slot 36,Slot 42,
25,Slot 42,Slot 43,
26,Slot 37,Slot 41,
27,Slot 37,Slot 39,
28,Slot 3,Slot 39,
29,Slot 26,Slot 40,
30,Slot 30,Slot 31,
31,Slot 19,Slot 25,
32,Slot 24,Slot 26,
33,Slot 32,Slot 33,
34,Slot 1,Slot 10,
35,Slot 11,Slot 12,
36,Slot 19,Slot 23,
37,Slot 17,Slot 21,
38,Slot 27,Slot 34,
39,Slot 15,Slot 29,
40,Slot 18,Slot 25,
41,Slot 10,Slot 11,
42,Slot 22,Slot 27,
43,Slot 18,Slot 20,
44,Slot 1,Slot 2,
45,Slot 2,Slot 29,
46,Slot 13,Slot 14,
47,Slot 3,Slot 28,
48,Slot 14,Slot 22,
49,Slot 28,Slot 30,
50,Slot 16,Slot 17,
