student,slot 1,slot 2,slot 3
1,Slot 63,Slot 64,Slot 65
2,Slot 40,Slot 45,
3,Slot 10,Slot 11,
4,Slot 15,Slot 16,
5,Slot 23,Slot 36,
6,Slot 15,Slot 35,
7,Slot 33,Slot 35,
8,Slot 18,Slot 36,
9,Slot 13,Slot 37,
10,Slot 5,Slot 49,Slot 66
11,Slot 6,Slot 53,Slot 54
12,Slot 9,Slot 52,Slot 55
13,Slot 48,Slot 56,Slot 62
14,Slot 51,Slot 59,Slot 61
15,Slot 50,Slot 57,Slot 60
16,Slot 7,Slot 8,
17,Slot 58,Slot 67,
18,Slot 46,Slot 47,
19,Slot 44,Slot 45,
20,Slot 40,Slot 44,
21,Slot 4,Slot 43,
22,Slot 42,Slot 43,
23,Slot 38,Slot 42,
24,Slot 39,Slot 41,
25,Slot 39,Slot 41,
26,Slot 4,Slot 34,
27,Slot 34,Slot 38,
28,Slot 28,Slot 37,
29,Slot 3,Slot 30,
30,Slot 24,Slot 25,
31,Slot 1,Slot 21,
32,Slot 2,Slot 14,
33,Slot 20,Slot 32,
34,Slot 22,Slot 27,
35,Slot 25,Slot 26,
36,Slot 18,Slot 19,
37,Slot 2,Slot 16,
38,Slot 28,Slot 31,
39,Slot 12,Slot 14,
40,Slot 27,Slot 29,
41,Slot 30,Slot 31,
42,Slot 1,Slot 26,
43,Slot 19,Slot 22,
44,Slot 32,Slot 33,
45,Slot 10,Slot 17,
46,Slot 20,Slot 23,
47,Slot 21,Slot 24,
48,Slot 13,Slot 17,
49,Slot 12,Slot 29,
50,Slot 3,Slot 11,
