student,slot 1,slot 2,slot 3
1,Slot 5,Slot 8,Slot 51
2,Slot 4,Slot 63,
3,Slot 32,Slot 33,
4,Slot 17,Slot 18,
5,Slot 32,Slot 34,
6,Slot 1,Slot 19,
7,Slot 20,Slot 21,
8,Slot 17,Slot 18,
9,Slot 3,Slot 23,
10,Slot 9,Slot 54,Slot 55
11,Slot 52,Slot 57,Slot 60
12,Slot 47,Slot 48,Slot 50
13,Slot 48,Slot 56,
14,Slot 62,Slot 64,
15,Slot 46,Slot 65,Slot 66
16,Slot 44,Slot 59,
17,Slot 44,Slot 67,
18,Slot 41,Slot 42,
19,Slot 42,Slot 49,Slot 53
20,Slot 7,Slot 58,Slot 61
21,Slot 4,Slot 6,Slot 45
22,Slot 38,Slot 43,
23,Slot 37,Slot 45,
24,Slot 37,Slot 43,
25,Slot 35,Slot 41,
26,Slot 36,Slot 40,
27,Slot 36,Slot 39,
28,Slot 29,Slot 38,
29,Slot 39,Slot 40,
30,Slot 25,Slot 27,
31,Slot 10,Slot 14,
32,Slot 16,Slot 22,
33,Slot 11,Slot 12,
34,Slot 22,Slot 26,
35,Slot 20,Slot 21,
36,Slot 24,Slot 26,
37,Slot 1,Slot 12,
38,Slot 2,Slot 35,
39,Slot 24,Slot 27,
40,Slot 25,Slot 31,
41,Slot 23,Slot 28,
42,Slot 16,Slot 30,
43,Slot 3,Slot 30,
44,Slot 13,Slot 29,
45,Slot 15,Slot 28,
46,Slot 31,Slot 33,
47,Slot 2,Slot 19,
48,Slot 13,Slot 14,
49,Slot 15,Slot 34,
50,Slot 10,Slot 11,
