student,slot 1,slot 2,slot 3
1,Slot 65,Slot 66,Slot 67
2,Slot 4,Slot 8,
3,Slot 12,Slot 35,
4,Slot 14,Slot 18,
5,Slot 16,Slot 17,
6,Slot 13,Slot 14,
7,Slot 15,Slot 16,
8,Slot 25,Slot 30,
9,Slot 17,Slot 21,
10,Slot 61,Slot 63,
11,Slot 48,Slot 55,Slot 59
12,Slot 5,Slot 49,Slot 54
13,Slot 7,Slot 62,Slot 64
14,Slot 44,Slot 52,Slot 53
15,Slot 9,Slot 44,Slot 56
16,Slot 41,Slot 46,
17,Slot 41,Slot 57,
18,Slot 6,Slot 50,
19,Slot 4,Slot 40,
20,Slot 39,Slot 60,
21,Slot 47,Slot 51,
22,Slot 37,Slot 45,
23,Slot 43,Slot 58,
24,Slot 34,Slot 42,
25,Slot 34,Slot 43,
26,Slot 39,Slot 42,
27,Slot 38,Slot 40,
28,Slot 13,Slot 38,
29,Slot 2,Slot 37,
30,Slot 25,Slot 32,
31,Slot 28,Slot 29,
32,Slot 2,Slot 19,
33,Slot 12,Slot 36,
34,Slot 11,Slot 20,
35,Slot 28,Slot 31,
36,Slot 1,Slot 20,
37,Slot 22,Slot 27,
38,Slot 31,Slot 32,
39,Slot 18,Slot 19,
40,Slot 23,Slot 29,
41,Slot 24,Slot 33,
42,Slot 1,Slot 36,
43,Slot 3,Slot 35,
44,Slot 10,Slot 21,
45,Slot 10,Slot 15,
46,Slot 22,Slot 23,
47,Slot 26,Slot 27,
48,Slot 11,Slot 24,
49,Slot 3,Slot 30,
50,Slot 26,Slot 33,
