student,slot 1,slot 2,slot 3
1,Slot 7,Slot 45,Slot 56
2,Slot 41,Slot 63,Slot 64
3,Slot 17,Slot 21,
4,Slot 16,Slot 23,
5,Slot 13,Slot 14,
6,Slot 20,Slot 35,
7,Slot 14,Slot 15,
8,Slot 2,Slot 31,
9,Slot 29,Slot 33,
10,Slot 43,Slot 51,
11,Slot 9,Slot 55,
12,Slot 53,Slot 57,
13,Slot 49,Slot 50,
14,Slot 47,Slot 66,
15,Slot 39,Slot 46,
16,Slot 4,Slot 60,
17,Slot 37,Slot 61,
18,Slot 38,Slot 62,
19,Slot 36,Slot 67,
20,Slot 34,Slot 48,Slot 52
21,Slot 8,Slot 44,
22,Slot 5,Slot 59,
23,Slot 27,Slot 40,
24,Slot 42,Slot 58,
25,Slot 41,Slot 54,
26,Slot 6,Slot 65,
27,Slot 39,Slot 40,
28,Slot 37,Slot 38,
29,Slot 3,Slot 4,
30,Slot 29,Slot 35,
31,Slot 25,Slot 26,
32,Slot 11,Slot 18,
33,Slot 1,Slot 10,
34,Slot 17,Slot 18,
35,Slot 32,Slot 33,
36,Slot 30,Slot 32,
37,Slot 19,Slot 20,
38,Slot 11,Slot 16,
39,Slot 12,Slot 13,
40,Slot 19,Slot 30,
41,Slot 1,Slot 10,
42,Slot 12,Slot 15,
43,Slot 2,Slot 23,
44,Slot 21,Slot 22,
45,Slot 26,Slot 36,
46,Slot 31,Slot 34,
47,Slot 27,Slot 28,
48,Slot 22,Slot 24,
49,Slot 24,Slot 28,
50,Slot 3,Slot 25,
