student,slot 1,slot 2,slot 3
1,Slot 1,Slot 4,
2,Slot 24,Slot 45,Slot 47
3,Slot 8,Slot 36,
4,Slot 20,Slot 28,
5,Slot 21,Slot 27,Slot 56
6,Slot 14,Slot 31,Slot 41
7,Slot 32,Slot 33,Slot 53
8,Slot 3,Slot 35,Slot 57
9,Slot 34,Slot 37,Slot 67
10,Slot 25,Slot 35,Slot 55
11,Slot 6,Slot 38,Slot 59
12,Slot 13,Slot 63,Slot 66
13,Slot 6,Slot 57,Slot 62
14,Slot 34,Slot 50,Slot 52
15,Slot 4,Slot 29,
16,Slot 5,Slot 30,Slot 52
17,Slot 13,Slot 23,Slot 50
18,Slot 41,Slot 43,Slot 44
19,Slot 7,Slot 44,Slot 53
20,Slot 15,Slot 24,Slot 45
21,Slot 2,Slot 9,
22,Slot 15,Slot 49,Slot 64
23,Slot 46,Slot 51,
24,Slot 12,Slot 33,
25,Slot 16,Slot 17,Slot 58
26,Slot 26,Slot 38,Slot 54
27,Slot 19,Slot 22,
28,Slot 19,Slot 39,
29,Slot 14,Slot 23,
30,Slot 5,Slot 10,Slot 18
31,Slot 9,Slot 36,
32,Slot 42,Slot 51,Slot 66
33,Slot 18,Slot 55,
34,Slot 7,Slot 22,Slot 37
35,Slot 8,Slot 11,Slot 26
36,Slot 43,Slot 60,Slot 61
37,Slot 11,Slot 16,
38,Slot 17,Slot 46,
39,Slot 2,Slot 54,
40,Slot 40,Slot 48,Slot 60
41,Slot 25,Slot 40,Slot 63
42,Slot 27,Slot 64,Slot 65
43,Slot 3,Slot 31,Slot 62
44,Slot 32,Slot 39,Slot 56
45,Slot 20,Slot 47,Slot 59
46,Slot 12,Slot 29,Slot 65
47,Slot 21,Slot 61,Slot 67
48,Slot 42,Slot 48,
49,Slot 1,Slot 30,Slot 58
50,Slot 10,Slot 28,Slot 49
