student,slot 1,slot 2,slot 3
1,Slot 24,Slot 60,
2,Slot 36,Slot 44,Slot 46
3,Slot 32,Slot 50,
4,Slot 18,Slot 19,Slot 44
5,Slot 2,Slot 13,Slot 54
6,Slot 24,Slot 33,Slot 41
7,Slot 25,Slot 26,Slot 38
8,Slot 25,Slot 34,Slot 63
9,Slot 28,Slot 33,
10,Slot 1,Slot 52,
11,Slot 10,Slot 61,
12,Slot 7,Slot 57,Slot 67
13,Slot 23,Slot 42,Slot 55
14,Slot 29,Slot 39,Slot 56
15,Slot 5,Slot 16,Slot 27
16,Slot 28,Slot 45,Slot 62
17,Slot 3,Slot 30,Slot 47
18,Slot 4,Slot 31,Slot 53
19,Slot 3,Slot 30,
20,Slot 22,Slot 31,Slot 49
21,Slot 5,Slot 15,Slot 62
22,Slot 11,Slot 46,Slot 59
23,Slot 40,Slot 51,Slot 65
24,Slot 27,Slot 58,Slot 64
25,Slot 15,Slot 37,Slot 66
26,Slot 20,Slot 53,Slot 59
27,Slot 13,Slot 17,Slot 63
28,Slot 14,Slot 18,
29,Slot 9,Slot 29,Slot 65
30,Slot 12,Slot 21,
31,Slot 8,Slot 35,Slot 40
32,Slot 35,Slot 36,Slot 49
33,Slot 45,Slot 52,
34,Slot 7,Slot 8,
35,Slot 22,Slot 66,
36,Slot 6,Slot 42,Slot 58
37,Slot 11,Slot 14,Slot 21
38,Slot 6,Slot 41,
39,Slot 48,Slot 61,
40,Slot 43,Slot 48,Slot 57
41,Slot 4,Slot 38,Slot 51
42,Slot 2,Slot 67,
43,Slot 16,Slot 23,Slot 56
44,Slot 12,Slot 26,Slot 54
45,Slot 20,Slot 39,Slot 64
46,Slot 9,Slot 17,Slot 19
47,Slot 1,Slot 32,Slot 60
48,Slot 47,Slot 50,
49,Slot 10,Slot 55,
50,Slot 34,Slot 37,Slot 43
