student,slot 1,slot 2,slot 3
1,Slot 13,Slot 31,
2,Slot 38,Slot 41,Slot 46
3,Slot 25,Slot 34,Slot 64
4,Slot 9,Slot 21,Slot 53
5,Slot 15,Slot 27,Slot 41
6,Slot 4,Slot 28,Slot 40
7,Slot 19,Slot 28,Slot 54
8,Slot 31,Slot 45,Slot 46
9,Slot 7,Slot 37,
10,Slot 33,Slot 66,
11,Slot 17,Slot 52,
12,Slot 47,Slot 63,
13,Slot 6,Slot 32,Slot 59
14,Slot 32,Slot 55,
15,Slot 33,Slot 48,Slot 62
16,Slot 5,Slot 51,Slot 65
17,Slot 2,Slot 26,Slot 63
18,Slot 23,Slot 37,Slot 57
19,Slot 3,Slot 12,Slot 39
20,Slot 6,Slot 60,Slot 64
21,Slot 11,Slot 36,Slot 52
22,Slot 1,Slot 56,Slot 62
23,Slot 24,Slot 44,Slot 49
24,Slot 10,Slot 20,Slot 67
25,Slot 34,Slot 43,
26,Slot 17,Slot 18,Slot 53
27,Slot 7,Slot 30,Slot 44
28,Slot 4,Slot 65,Slot 67
29,Slot 8,Slot 35,Slot 58
30,Slot 21,Slot 30,
31,Slot 8,Slot 20,Slot 54
32,Slot 19,Slot 29,Slot 47
33,Slot 10,Slot 45,
34,Slot 2,Slot 58,
35,Slot 16,Slot 38,Slot 56
36,Slot 40,Slot 42,Slot 55
37,Slot 13,Slot 23,Slot 61
38,Slot 1,Slot 39,
39,Slot 11,Slot 15,
40,Slot 9,Slot 57,Slot 60
41,Slot 5,Slot 25,Slot 36
42,Slot 16,Slot 59,
43,Slot 26,Slot 29,Slot 48
44,Slot 22,Slot 27,Slot 42
45,Slot 14,Slot 49,Slot 50
46,Slot 3,Slot 24,
47,Slot 18,Slot 43,Slot 66
48,Slot 22,Slot 50,
49,Slot 12,Slot 14,
50,Slot 35,Slot 51,Slot 61
