student,slot 1,slot 2,slot 3
1,Slot 1,Slot 33,
2,Slot 41,Slot 43,Slot 45
3,Slot 10,Slot 38,Slot 64
4,Slot 19,Slot 24,
5,Slot 22,Slot 30,Slot 53
6,Slot 3,Slot 41,Slot 44
7,Slot 28,Slot 30,Slot 51
8,Slot 26,Slot 28,Slot 46
9,Slot 3,Slot 7,Slot 38
10,Slot 26,Slot 35,Slot 58
11,Slot 18,Slot 61,Slot 63
12,Slot 32,Slot 62,Slot 66
13,Slot 55,Slot 58,Slot 63
14,Slot 35,Slot 48,Slot 54
15,Slot 33,Slot 42,
16,Slot 5,Slot 29,Slot 53
17,Slot 5,Slot 13,Slot 24
18,Slot 32,Slot 39,Slot 40
19,Slot 8,Slot 37,Slot 39
20,Slot 2,Slot 46,Slot 47
21,Slot 16,Slot 67,
22,Slot 42,Slot 65,
23,Slot 50,Slot 60,
24,Slot 12,Slot 31,
25,Slot 6,Slot 13,Slot 15
26,Slot 21,Slot 34,Slot 51
27,Slot 2,Slot 17,
28,Slot 15,Slot 59,
29,Slot 20,Slot 45,
30,Slot 19,Slot 22,Slot 49
31,Slot 21,Slot 36,
32,Slot 4,Slot 9,Slot 57
33,Slot 11,Slot 52,
34,Slot 9,Slot 34,Slot 57
35,Slot 4,Slot 23,
36,Slot 7,Slot 60,Slot 64
37,Slot 8,Slot 10,Slot 11
38,Slot 16,Slot 52,
39,Slot 14,Slot 49,
40,Slot 37,Slot 43,Slot 59
41,Slot 20,Slot 40,Slot 55
42,Slot 17,Slot 65,Slot 66
43,Slot 25,Slot 27,Slot 61
44,Slot 27,Slot 36,Slot 54
45,Slot 23,Slot 25,Slot 56
46,Slot 12,Slot 14,Slot 62
47,Slot 6,Slot 18,Slot 67
48,Slot 44,Slot 50,
49,Slot 1,Slot 31,Slot 56
50,Slot 29,Slot 47,Slot 48
