student,slot 1,slot 2,slot 3
1,Slot 53,Slot 64,
2,Slot 4,Slot 24,Slot 42
3,Slot 1,Slot 36,Slot 37
4,Slot 19,Slot 21,Slot 48
5,Slot 12,Slot 44,Slot 60
6,Slot 8,Slot 22,Slot 30
7,Slot 3,Slot 33,Slot 58
8,Slot 7,Slot 35,Slot 39
9,Slot 35,Slot 62,Slot 63
10,Slot 33,Slot 56,
11,Slot 6,Slot 26,Slot 32
12,Slot 28,Slot 67,
13,Slot 55,Slot 57,Slot 59
14,Slot 42,Slot 43,Slot 51
15,Slot 5,Slot 22,Slot 29
16,Slot 7,Slot 30,Slot 50
17,Slot 17,Slot 39,Slot 50
18,Slot 32,Slot 34,Slot 46
19,Slot 37,Slot 53,
20,Slot 15,Slot 25,Slot 49
21,Slot 9,Slot 19,Slot 56
22,Slot 16,Slot 49,Slot 61
23,Slot 5,Slot 11,Slot 45
24,Slot 13,Slot 28,
25,Slot 18,Slot 26,Slot 40
26,Slot 25,Slot 57,Slot 66
27,Slot 2,Slot 59,Slot 64
28,Slot 3,Slot 17,
29,Slot 14,Slot 65,
30,Slot 15,Slot 29,
31,Slot 9,Slot 34,Slot 67
32,Slot 4,Slot 40,Slot 41
33,Slot 10,Slot 54,
34,Slot 31,Slot 65,
35,Slot 23,Slot 27,
36,Slot 52,Slot 55,Slot 66
37,Slot 11,Slot 16,
38,Slot 14,Slot 41,
39,Slot 6,Slot 43,
40,Slot 47,Slot 52,Slot 61
41,Slot 36,Slot 46,Slot 48
42,Slot 51,Slot 63,
43,Slot 2,Slot 27,Slot 54
44,Slot 23,Slot 31,Slot 60
45,Slot 12,Slot 20,Slot 44
46,Slot 13,Slot 18,Slot 62
47,Slot 20,Slot 38,Slot 58
48,Slot 8,Slot 38,Slot 45
49,Slot 1,Slot 24,
50,Slot 10,Slot 21,Slot 47
