student,slot 1,slot 2,slot 3
1,Slot 55,Slot 60,
2,Slot 36,Slot 39,Slot 43
3,Slot 8,Slot 10,Slot 47
4,Slot 17,Slot 20,
5,Slot 21,Slot 28,Slot 57
6,Slot 33,Slot 35,Slot 45
7,Slot 23,Slot 32,Slot 40
8,Slot 24,Slot 26,Slot 50
9,Slot 27,Slot 35,
10,Slot 9,Slot 25,Slot 65
11,Slot 24,Slot 58,Slot 61
12,Slot 14,Slot 64,
13,Slot 8,Slot 56,Slot 59
14,Slot 4,Slot 6,Slot 56
15,Slot 26,Slot 27,
16,Slot 5,Slot 30,Slot 49
17,Slot 3,Slot 22,Slot 51
18,Slot 30,Slot 31,Slot 44
19,Slot 4,Slot 34,Slot 67
20,Slot 15,Slot 31,Slot 45
21,Slot 11,Slot 36,
22,Slot 48,Slot 50,Slot 63
23,Slot 42,Slot 44,Slot 47
24,Slot 1,Slot 29,
25,Slot 12,Slot 13,Slot 41
26,Slot 7,Slot 25,Slot 55
27,Slot 13,Slot 63,Slot 65
28,Slot 2,Slot 16,
29,Slot 6,Slot 23,
30,Slot 17,Slot 28,Slot 52
31,Slot 37,Slot 57,
32,Slot 39,Slot 41,Slot 46
33,Slot 18,Slot 52,
34,Slot 3,Slot 7,
35,Slot 21,Slot 22,
36,Slot 40,Slot 58,Slot 60
37,Slot 9,Slot 10,Slot 53
38,Slot 15,Slot 49,
39,Slot 16,Slot 53,
40,Slot 38,Slot 48,Slot 54
41,Slot 11,Slot 32,Slot 37
42,Slot 19,Slot 62,Slot 64
43,Slot 5,Slot 19,Slot 20
44,Slot 38,Slot 54,Slot 66
45,Slot 2,Slot 34,Slot 59
46,Slot 12,Slot 14,Slot 67
47,Slot 18,Slot 61,Slot 66
48,Slot 43,Slot 51,
49,Slot 1,Slot 29,Slot 62
50,Slot 33,Slot 42,Slot 46
