student,slot 1,slot 2,slot 3
1,Slot 23,Slot 58,
2,Slot 43,Slot 45,Slot 67
3,Slot 10,Slot 27,Slot 37
4,Slot 16,Slot 25,Slot 51
5,Slot 3,Slot 11,Slot 28
6,Slot 14,Slot 33,Slot 35
7,Slot 20,Slot 40,Slot 46
8,Slot 20,Slot 33,Slot 43
9,Slot 27,Slot 31,
10,Slot 24,Slot 65,
11,Slot 60,Slot 61,
12,Slot 7,Slot 21,
13,Slot 12,Slot 55,
14,Slot 6,Slot 41,Slot 56
15,Slot 19,Slot 54,Slot 57
16,Slot 8,Slot 32,Slot 49
17,Slot 29,Slot 55,Slot 56
18,Slot 24,Slot 26,Slot 47
19,Slot 26,Slot 61,
20,Slot 21,Slot 29,Slot 48
21,Slot 19,Slot 36,Slot 52
22,Slot 5,Slot 50,Slot 67
23,Slot 34,Slot 44,Slot 51
24,Slot 2,Slot 30,Slot 47
25,Slot 4,Slot 14,Slot 15
26,Slot 7,Slot 31,Slot 42
27,Slot 16,Slot 34,Slot 63
28,Slot 23,Slot 39,Slot 48
29,Slot 6,Slot 25,
30,Slot 13,Slot 28,Slot 63
31,Slot 35,Slot 57,
32,Slot 36,Slot 38,Slot 42
33,Slot 1,Slot 18,
34,Slot 8,Slot 30,
35,Slot 22,Slot 32,Slot 39
36,Slot 3,Slot 53,Slot 62
37,Slot 10,Slot 53,Slot 58
38,Slot 15,Slot 50,
39,Slot 12,Slot 54,
40,Slot 5,Slot 59,Slot 60
41,Slot 4,Slot 11,Slot 46
42,Slot 64,Slot 65,
43,Slot 17,Slot 49,Slot 64
44,Slot 2,Slot 37,Slot 66
45,Slot 22,Slot 41,Slot 59
46,Slot 17,Slot 45,
47,Slot 18,Slot 38,Slot 66
48,Slot 9,Slot 44,Slot 62
49,Slot 1,Slot 9,
50,Slot 13,Slot 40,Slot 52
