student,slot 1,slot 2,slot 3
1,Slot 2,Slot 64,
2,Slot 4,Slot 33,Slot 46
3,Slot 7,Slot 10,Slot 42
4,Slot 18,Slot 53,Slot 63
5,Slot 13,Slot 38,Slot 48
6,Slot 6,Slot 19,Slot 35
7,Slot 22,Slot 28,Slot 49
8,Slot 29,Slot 47,Slot 57
9,Slot 3,Slot 37,
10,Slot 28,Slot 29,
11,Slot 56,Slot 61,
12,Slot 30,Slot 33,Slot 39
13,Slot 56,Slot 59,Slot 66
14,Slot 31,Slot 51,Slot 54
15,Slot 3,Slot 15,
16,Slot 41,Slot 52,Slot 67
17,Slot 16,Slot 60,Slot 62
18,Slot 11,Slot 31,Slot 55
19,Slot 8,Slot 32,Slot 65
20,Slot 17,Slot 34,Slot 54
21,Slot 8,Slot 12,Slot 51
22,Slot 58,Slot 59,Slot 64
23,Slot 40,Slot 45,Slot 52
24,Slot 5,Slot 14,Slot 32
25,Slot 9,Slot 18,Slot 38
26,Slot 9,Slot 26,Slot 49
27,Slot 20,Slot 40,Slot 42
28,Slot 19,Slot 25,Slot 39
29,Slot 23,Slot 45,
30,Slot 17,Slot 26,Slot 66
31,Slot 27,Slot 36,
32,Slot 24,Slot 44,Slot 46
33,Slot 11,Slot 14,
34,Slot 6,Slot 7,
35,Slot 22,Slot 37,Slot 61
36,Slot 48,Slot 63,
37,Slot 13,Slot 15,Slot 50
38,Slot 2,Slot 50,
39,Slot 23,Slot 55,
40,Slot 12,Slot 57,Slot 60
41,Slot 5,Slot 21,Slot 43
42,Slot 36,Slot 67,
43,Slot 1,Slot 25,Slot 53
44,Slot 4,Slot 24,Slot 27
45,Slot 10,Slot 21,Slot 47
46,Slot 20,Slot 34,
47,Slot 41,Slot 43,Slot 62
48,Slot 30,Slot 44,
49,Slot 1,Slot 65,
50,Slot 16,Slot 35,Slot 58
