student,slot 1,slot 2,slot 3
1,Slot 18,Slot 67,
2,Slot 39,Slot 40,Slot 48
3,Slot 21,Slot 29,Slot 62
4,Slot 17,Slot 22,
5,Slot 10,Slot 56,Slot 65
6,Slot 19,Slot 51,Slot 61
7,Slot 23,Slot 24,Slot 46
8,Slot 3,Slot 34,Slot 52
9,Slot 32,Slot 35,
10,Slot 8,Slot 34,
11,Slot 15,Slot 58,Slot 66
12,Slot 53,Slot 55,
13,Slot 56,Slot 57,Slot 59
14,Slot 4,Slot 53,Slot 61
15,Slot 7,Slot 24,Slot 49
16,Slot 32,Slot 50,Slot 52
17,Slot 28,Slot 36,Slot 54
18,Slot 37,Slot 39,Slot 47
19,Slot 2,Slot 8,Slot 36
20,Slot 15,Slot 28,Slot 54
21,Slot 7,Slot 13,Slot 31
22,Slot 11,Slot 51,Slot 60
23,Slot 43,Slot 44,Slot 48
24,Slot 6,Slot 25,
25,Slot 12,Slot 14,Slot 41
26,Slot 19,Slot 35,Slot 55
27,Slot 20,Slot 42,
28,Slot 18,Slot 21,
29,Slot 16,Slot 63,
30,Slot 22,Slot 25,Slot 67
31,Slot 26,Slot 30,Slot 63
32,Slot 9,Slot 31,Slot 38
33,Slot 4,Slot 27,
34,Slot 26,Slot 60,
35,Slot 3,Slot 16,
36,Slot 5,Slot 11,Slot 46
37,Slot 1,Slot 65,
38,Slot 1,Slot 38,
39,Slot 12,Slot 41,
40,Slot 33,Slot 47,Slot 49
41,Slot 30,Slot 44,Slot 45
42,Slot 14,Slot 59,Slot 62
43,Slot 9,Slot 23,Slot 43
44,Slot 27,Slot 29,Slot 57
45,Slot 20,Slot 37,Slot 40
46,Slot 13,Slot 17,Slot 64
47,Slot 45,Slot 58,Slot 64
48,Slot 5,Slot 42,
49,Slot 6,Slot 10,Slot 66
50,Slot 2,Slot 33,Slot 50
