student,slot 1,slot 2,slot 3
1,Slot 36,Slot 45,
2,Slot 6,Slot 38,Slot 43
3,Slot 11,Slot 41,Slot 64
4,Slot 18,Slot 20,
5,Slot 20,Slot 27,Slot 50
6,Slot 26,Slot 30,Slot 33
7,Slot 25,Slot 29,Slot 44
8,Slot 23,Slot 25,Slot 46
9,Slot 37,Slot 53,Slot 62
10,Slot 29,Slot 31,Slot 59
11,Slot 12,Slot 60,Slot 63
12,Slot 6,Slot 31,Slot 67
13,Slot 54,Slot 57,Slot 59
14,Slot 11,Slot 44,Slot 51
15,Slot 32,Slot 65,
16,Slot 3,Slot 5,Slot 48
17,Slot 17,Slot 30,Slot 48
18,Slot 3,Slot 33,Slot 39
19,Slot 7,Slot 38,Slot 39
20,Slot 14,Slot 22,Slot 40
21,Slot 9,Slot 18,
22,Slot 12,Slot 43,Slot 66
23,Slot 52,Slot 58,
24,Slot 10,Slot 34,
25,Slot 1,Slot 45,Slot 61
26,Slot 27,Slot 42,Slot 53
27,Slot 15,Slot 66,
28,Slot 16,Slot 28,
29,Slot 15,Slot 23,
30,Slot 16,Slot 19,Slot 46
31,Slot 19,Slot 34,
32,Slot 4,Slot 49,Slot 62
33,Slot 2,Slot 51,
34,Slot 8,Slot 9,Slot 32
35,Slot 4,Slot 8,Slot 26
36,Slot 42,Slot 55,Slot 56
37,Slot 10,Slot 64,
38,Slot 5,Slot 13,
39,Slot 1,Slot 50,
40,Slot 40,Slot 41,Slot 58
41,Slot 17,Slot 37,Slot 57
42,Slot 21,Slot 61,Slot 65
43,Slot 22,Slot 24,Slot 60
44,Slot 24,Slot 36,Slot 55
45,Slot 2,Slot 49,Slot 54
46,Slot 7,Slot 14,Slot 35
47,Slot 21,Slot 63,Slot 67
48,Slot 47,Slot 52,
49,Slot 13,Slot 35,Slot 56
50,Slot 28,Slot 47,
