student,slot 1,slot 2,slot 3
1,Slot 17,Slot 36,
2,Slot 5,Slot 41,Slot 48
3,Slot 38,Slot 57,Slot 65
4,Slot 19,Slot 22,
5,Slot 10,Slot 22,Slot 54
6,Slot 20,Slot 42,
7,Slot 26,Slot 47,Slot 50
8,Slot 26,Slot 28,Slot 46
9,Slot 8,Slot 31,Slot 33
10,Slot 27,Slot 32,Slot 53
11,Slot 3,Slot 57,Slot 63
12,Slot 60,Slot 67,
13,Slot 55,Slot 58,Slot 61
14,Slot 3,Slot 45,Slot 51
15,Slot 35,Slot 37,
16,Slot 29,Slot 45,Slot 49
17,Slot 25,Slot 37,Slot 52
18,Slot 39,Slot 40,Slot 41
19,Slot 7,Slot 30,Slot 38
20,Slot 18,Slot 39,Slot 42
21,Slot 9,Slot 13,
22,Slot 44,Slot 53,Slot 62
23,Slot 5,Slot 52,
24,Slot 12,Slot 30,
25,Slot 15,Slot 16,Slot 54
26,Slot 21,Slot 33,Slot 56
27,Slot 2,Slot 16,
28,Slot 15,Slot 34,Slot 64
29,Slot 20,Slot 67,
30,Slot 2,Slot 23,Slot 47
31,Slot 24,Slot 32,
32,Slot 4,Slot 48,Slot 64
33,Slot 23,Slot 50,
34,Slot 8,Slot 9,Slot 66
35,Slot 1,Slot 7,Slot 24
36,Slot 4,Slot 6,Slot 58
37,Slot 1,Slot 13,
38,Slot 17,Slot 49,
39,Slot 21,Slot 46,
40,Slot 40,Slot 44,Slot 55
41,Slot 14,Slot 35,Slot 62
42,Slot 25,Slot 61,Slot 63
43,Slot 6,Slot 27,Slot 29
44,Slot 28,Slot 34,Slot 56
45,Slot 18,Slot 51,Slot 59
46,Slot 11,Slot 14,Slot 66
47,Slot 19,Slot 60,Slot 65
48,Slot 12,Slot 43,
49,Slot 10,Slot 11,Slot 59
50,Slot 31,Slot 36,Slot 43
