student,slot 1,slot 2,slot 3
1,Slot 1,Slot 60,
2,Slot 40,Slot 46,Slot 57
3,Slot 11,Slot 46,Slot 60
4,Slot 3,Slot 17,
5,Slot 10,Slot 25,Slot 54
6,Slot 18,Slot 41,Slot 61
7,Slot 4,Slot 22,Slot 27
8,Slot 32,Slot 36,Slot 51
9,Slot 34,Slot 38,Slot 62
10,Slot 29,Slot 44,
11,Slot 6,Slot 15,Slot 59
12,Slot 33,Slot 56,Slot 65
13,Slot 8,Slot 50,
14,Slot 4,Slot 53,Slot 63
15,Slot 35,Slot 38,
16,Slot 6,Slot 47,Slot 48
17,Slot 13,Slot 28,Slot 52
18,Slot 29,Slot 41,Slot 57
19,Slot 37,Slot 42,Slot 64
20,Slot 21,Slot 31,Slot 40
21,Slot 16,Slot 30,
22,Slot 39,Slot 49,Slot 66
23,Slot 5,Slot 53,Slot 59
24,Slot 10,Slot 33,
25,Slot 5,Slot 15,Slot 16
26,Slot 28,Slot 45,Slot 54
27,Slot 2,Slot 18,
28,Slot 11,Slot 25,
29,Slot 20,Slot 24,
30,Slot 20,Slot 26,Slot 51
31,Slot 7,Slot 26,Slot 34
32,Slot 36,Slot 43,Slot 58
33,Slot 3,Slot 47,
34,Slot 8,Slot 14,
35,Slot 9,Slot 24,Slot 67
36,Slot 9,Slot 62,Slot 65
37,Slot 12,Slot 35,
38,Slot 19,Slot 52,
39,Slot 14,Slot 55,
40,Slot 45,Slot 48,Slot 64
41,Slot 2,Slot 39,Slot 42
42,Slot 22,Slot 58,Slot 66
43,Slot 23,Slot 27,Slot 49
44,Slot 30,Slot 32,Slot 56
45,Slot 21,Slot 37,Slot 61
46,Slot 7,Slot 13,Slot 17
47,Slot 19,Slot 63,Slot 67
48,Slot 44,Slot 50,
49,Slot 1,Slot 23,Slot 55
50,Slot 12,Slot 31,Slot 43
