student,slot 1,slot 2,slot 3
1,Slot 12,Slot 16,Slot 55
2,Slot 6,Slot 54,Slot 59
3,Slot 15,Slot 27,Slot 46
4,Slot 15,Slot 21,Slot 52
5,Slot 17,Slot 55,Slot 64
6,Slot 20,Slot 33,Slot 40
7,Slot 22,Slot 34,Slot 61
8,Slot 22,Slot 24,Slot 30
9,Slot 3,Slot 36,
10,Slot 29,Slot 50,
11,Slot 18,Slot 58,Slot 67
12,Slot 2,Slot 8,
13,Slot 33,Slot 54,Slot 56
14,Slot 7,Slot 35,Slot 59
15,Slot 43,Slot 63,
16,Slot 43,Slot 48,Slot 53
17,Slot 6,Slot 10,Slot 28
18,Slot 4,Slot 25,Slot 28
19,Slot 3,Slot 27,
20,Slot 26,Slot 39,Slot 42
21,Slot 2,Slot 57,Slot 63
22,Slot 7,Slot 16,Slot 41
23,Slot 39,Slot 44,Slot 51
24,Slot 11,Slot 38,
25,Slot 32,Slot 53,
26,Slot 4,Slot 5,
27,Slot 18,Slot 19,
28,Slot 26,Slot 30,Slot 60
29,Slot 11,Slot 12,Slot 29
30,Slot 19,Slot 49,Slot 65
31,Slot 31,Slot 64,
32,Slot 37,Slot 38,Slot 66
33,Slot 1,Slot 51,
34,Slot 9,Slot 32,
35,Slot 14,Slot 23,
36,Slot 42,Slot 60,Slot 62
37,Slot 1,Slot 9,
38,Slot 31,Slot 40,Slot 50
39,Slot 13,Slot 52,
40,Slot 41,Slot 45,Slot 58
41,Slot 17,Slot 35,Slot 44
42,Slot 65,Slot 66,
43,Slot 21,Slot 24,Slot 57
44,Slot 14,Slot 20,Slot 47
45,Slot 23,Slot 34,Slot 46
46,Slot 13,Slot 61,Slot 62
47,Slot 8,Slot 25,Slot 48
48,Slot 5,Slot 47,Slot 56
49,Slot 10,Slot 36,Slot 67
50,Slot 37,Slot 45,Slot 49
