student,slot 1,slot 2,slot 3
1,Slot 3,Slot 10,
2,Slot 37,Slot 45,Slot 48
3,Slot 9,Slot 18,Slot 40
4,Slot 2,Slot 16,
5,Slot 21,Slot 24,Slot 49
6,Slot 29,Slot 38,Slot 39
7,Slot 3,Slot 44,Slot 53
8,Slot 25,Slot 27,Slot 54
9,Slot 28,Slot 33,Slot 66
10,Slot 28,Slot 30,Slot 59
11,Slot 6,Slot 13,Slot 61
12,Slot 11,Slot 58,Slot 63
13,Slot 6,Slot 57,Slot 62
14,Slot 48,Slot 53,Slot 64
15,Slot 30,Slot 66,
16,Slot 34,Slot 43,Slot 51
17,Slot 22,Slot 31,Slot 46
18,Slot 33,Slot 38,Slot 40
19,Slot 8,Slot 35,Slot 36
20,Slot 20,Slot 37,Slot 43
21,Slot 7,Slot 16,
22,Slot 11,Slot 42,Slot 63
23,Slot 52,Slot 55,
24,Slot 9,Slot 13,Slot 32
25,Slot 15,Slot 17,Slot 55
26,Slot 4,Slot 29,Slot 50
27,Slot 15,Slot 20,
28,Slot 19,Slot 32,
29,Slot 7,Slot 19,
30,Slot 18,Slot 25,
31,Slot 27,Slot 51,
32,Slot 34,Slot 46,Slot 65
33,Slot 5,Slot 24,
34,Slot 8,Slot 12,Slot 62
35,Slot 2,Slot 67,
36,Slot 36,Slot 59,Slot 60
37,Slot 1,Slot 14,
38,Slot 10,Slot 49,
39,Slot 14,Slot 47,
40,Slot 41,Slot 42,Slot 56
41,Slot 39,Slot 41,Slot 50
42,Slot 17,Slot 64,Slot 65
43,Slot 21,Slot 26,Slot 60
44,Slot 4,Slot 35,Slot 54
45,Slot 5,Slot 23,Slot 56
46,Slot 12,Slot 22,Slot 67
47,Slot 23,Slot 57,Slot 61
48,Slot 47,Slot 52,
49,Slot 1,Slot 31,Slot 58
50,Slot 26,Slot 44,Slot 45
